~id,~label,symbol:String,exp_hr_coeff:String,hr_pval:String
gene:ABRA,Gene,ABRA,N/A,N/A
gene:ABRACL,Gene,ABRACL,N/A,N/A
gene:ABT1,Gene,ABT1,N/A,N/A
gene:ABTB1,Gene,ABTB1,N/A,0.995179
gene:ABTB2,Gene,ABTB2,N/A,0.995887
gene:AC002310.13,Gene,AC002310.13,N/A,N/A
gene:AC002456.2,Gene,AC002456.2,N/A,N/A
gene:AC002472.1,Gene,AC002472.1,N/A,N/A
gene:AC002472.13,Gene,AC002472.13,N/A,N/A
gene:AC002511.1,Gene,AC002511.1,N/A,N/A
gene:AC002519.8,Gene,AC002519.8,N/A,N/A
gene:AC003002.6,Gene,AC003002.6,N/A,N/A
gene:AC003006.7,Gene,AC003006.7,N/A,N/A
gene:AC003101.1,Gene,AC003101.1,N/A,N/A
gene:AC003958.2,Gene,AC003958.2,N/A,N/A
gene:AC004076.7,Gene,AC004076.7,N/A,N/A
gene:AC004076.9,Gene,AC004076.9,N/A,N/A
gene:AC004158.2,Gene,AC004158.2,N/A,N/A
gene:AC004381.6,Gene,AC004381.6,N/A,0.994852
gene:AC004410.3,Gene,AC004410.3,N/A,N/A
gene:AC004466.1,Gene,AC004466.1,N/A,N/A
gene:AC004603.4,Gene,AC004603.4,N/A,N/A
gene:AC004702.2,Gene,AC004702.2,N/A,N/A
gene:AC004837.4,Gene,AC004837.4,N/A,N/A
gene:AC004840.9,Gene,AC004840.9,N/A,N/A
gene:AC005003.1,Gene,AC005003.1,N/A,N/A
gene:AC005013.5,Gene,AC005013.5,N/A,N/A
gene:AC005176.2,Gene,AC005176.2,N/A,N/A
gene:AC005307.3,Gene,AC005307.3,N/A,N/A
gene:AC005358.1,Gene,AC005358.1,N/A,N/A
gene:AC005488.1,Gene,AC005488.1,N/A,N/A
gene:AC005544.1,Gene,AC005544.1,N/A,N/A
gene:AC005549.3,Gene,AC005549.3,N/A,N/A
gene:AC005609.1,Gene,AC005609.1,N/A,N/A
gene:AC005631.1,Gene,AC005631.1,N/A,N/A
gene:AC005863.1,Gene,AC005863.1,N/A,N/A
gene:AC006116.24,Gene,AC006116.24,N/A,N/A
gene:AC006262.6,Gene,AC006262.6,N/A,N/A
gene:AC006378.2,Gene,AC006378.2,N/A,N/A
gene:AC006435.1,Gene,AC006435.1,N/A,N/A
gene:AC006455.1,Gene,AC006455.1,N/A,N/A
gene:AC006486.9,Gene,AC006486.9,N/A,N/A
gene:AC006538.4,Gene,AC006538.4,N/A,N/A
gene:AC006946.15,Gene,AC006946.15,N/A,N/A
gene:AC007163.3,Gene,AC007163.3,N/A,N/A
gene:AC007163.6,Gene,AC007163.6,N/A,N/A
gene:AC007277.3,Gene,AC007277.3,N/A,N/A
gene:AC007383.4,Gene,AC007383.4,N/A,N/A
gene:AC007405.4,Gene,AC007405.4,N/A,N/A
gene:AC007557.1,Gene,AC007557.1,N/A,N/A
gene:AC007879.6,Gene,AC007879.6,N/A,N/A
gene:AC007956.1,Gene,AC007956.1,N/A,N/A
gene:AC008060.7,Gene,AC008060.7,N/A,N/A
gene:AC008132.13,Gene,AC008132.13,N/A,N/A
gene:AC008268.2,Gene,AC008268.2,N/A,N/A
gene:AC008271.1,Gene,AC008271.1,N/A,N/A
gene:AC008394.1,Gene,AC008394.1,N/A,N/A
gene:AC009014.3,Gene,AC009014.3,N/A,N/A
gene:AC009065.1,Gene,AC009065.1,N/A,N/A
gene:AC009120.4,Gene,AC009120.4,N/A,N/A
gene:AC009120.6,Gene,AC009120.6,N/A,N/A
gene:AC009365.3,Gene,AC009365.3,N/A,N/A
gene:AC009403.2,Gene,AC009403.2,N/A,N/A
gene:AC009499.1,Gene,AC009499.1,N/A,N/A
gene:AC009892.10,Gene,AC009892.10,N/A,N/A
gene:AC010091.1,Gene,AC010091.1,N/A,N/A
gene:AC010203.1,Gene,AC010203.1,N/A,N/A
gene:AC010327.2,Gene,AC010327.2,N/A,N/A
gene:AC010336.1,Gene,AC010336.1,N/A,N/A
gene:AC010441.1,Gene,AC010441.1,N/A,N/A
gene:AC010646.3,Gene,AC010646.3,N/A,N/A
gene:AC010731.4,Gene,AC010731.4,N/A,N/A
gene:AC011294.3,Gene,AC011294.3,N/A,N/A
