~id,~label,symbol:String,exp_hr_coeff:String,hr_pval:String
gene:C2orf50,Gene,C2orf50,N/A,N/A
gene:C2orf53,Gene,C2orf53,N/A,N/A
gene:C2orf54,Gene,C2orf54,N/A,N/A
gene:C2orf57,Gene,C2orf57,N/A,N/A
gene:C2orf61,Gene,C2orf61,N/A,N/A
gene:C2orf62,Gene,C2orf62,N/A,N/A
gene:C2orf66,Gene,C2orf66,N/A,N/A
gene:C2orf68,Gene,C2orf68,N/A,N/A
gene:C2orf69,Gene,C2orf69,N/A,N/A
gene:C2orf70,Gene,C2orf70,N/A,N/A
gene:C2orf71,Gene,C2orf71,0.19389,0.174056
gene:C2orf72,Gene,C2orf72,N/A,N/A
gene:C2orf73,Gene,C2orf73,N/A,N/A
gene:C2orf74,Gene,C2orf74,N/A,N/A
gene:C2orf76,Gene,C2orf76,N/A,N/A
gene:C2orf78,Gene,C2orf78,N/A,0.993931
gene:C2orf80,Gene,C2orf80,N/A,N/A
gene:C2orf81,Gene,C2orf81,N/A,N/A
gene:C2orf82,Gene,C2orf82,N/A,N/A
gene:C2orf83,Gene,C2orf83,N/A,N/A
gene:C2orf88,Gene,C2orf88,N/A,N/A
gene:C2orf91,Gene,C2orf91,N/A,N/A
gene:C3,Gene,C3,0.128982,0.108041
gene:C3AR1,Gene,C3AR1,N/A,N/A
gene:C3P1,Gene,C3P1,N/A,N/A
gene:C3orf14,Gene,C3orf14,N/A,N/A
gene:C3orf17,Gene,C3orf17,N/A,0.994317
gene:C3orf18,Gene,C3orf18,N/A,N/A
gene:C3orf20,Gene,C3orf20,0.716521,0.781783
gene:C3orf22,Gene,C3orf22,N/A,N/A
gene:C3orf27,Gene,C3orf27,N/A,N/A
gene:C3orf30,Gene,C3orf30,N/A,N/A
gene:C3orf33,Gene,C3orf33,N/A,N/A
gene:C3orf35,Gene,C3orf35,N/A,N/A
gene:C3orf36,Gene,C3orf36,N/A,N/A
gene:C3orf38,Gene,C3orf38,N/A,N/A
gene:C3orf49,Gene,C3orf49,N/A,N/A
gene:C3orf52,Gene,C3orf52,N/A,N/A
gene:C3orf55,Gene,C3orf55,N/A,N/A
gene:C3orf56,Gene,C3orf56,N/A,N/A
gene:C3orf58,Gene,C3orf58,N/A,N/A
gene:C3orf62,Gene,C3orf62,N/A,N/A
gene:C3orf65,Gene,C3orf65,N/A,N/A
gene:C3orf67,Gene,C3orf67,N/A,0.995969
gene:C3orf70,Gene,C3orf70,N/A,N/A
gene:C3orf72,Gene,C3orf72,N/A,N/A
gene:C3orf79,Gene,C3orf79,N/A,N/A
gene:C3orf84,Gene,C3orf84,N/A,N/A
gene:C4A,Gene,C4A,N/A,N/A
gene:C4B,Gene,C4B,N/A,N/A
gene:C4BPA,Gene,C4BPA,N/A,N/A
gene:C4BPB,Gene,C4BPB,N/A,N/A
gene:C4orf17,Gene,C4orf17,N/A,N/A
gene:C4orf19,Gene,C4orf19,N/A,N/A
gene:C4orf21,Gene,C4orf21,0.1896,0.149703
gene:C4orf22,Gene,C4orf22,N/A,N/A
gene:C4orf26,Gene,C4orf26,N/A,N/A
gene:C4orf27,Gene,C4orf27,N/A,N/A
gene:C4orf29,Gene,C4orf29,N/A,N/A
gene:C4orf3,Gene,C4orf3,N/A,N/A
gene:C4orf32,Gene,C4orf32,N/A,N/A
gene:C4orf33,Gene,C4orf33,N/A,N/A
gene:C4orf36,Gene,C4orf36,N/A,N/A
gene:C4orf40,Gene,C4orf40,N/A,N/A
gene:C4orf45,Gene,C4orf45,N/A,N/A
gene:C4orf46,Gene,C4orf46,N/A,N/A
gene:C4orf47,Gene,C4orf47,N/A,N/A
gene:C4orf48,Gene,C4orf48,N/A,N/A
gene:C4orf50,Gene,C4orf50,0.462142,0.545407
gene:C4orf51,Gene,C4orf51,N/A,N/A
gene:C4orf6,Gene,C4orf6,N/A,N/A
gene:C5,Gene,C5,0.2185,0.232731
gene:C5AR1,Gene,C5AR1,N/A,N/A
gene:C5AR2,Gene,C5AR2,N/A,N/A
gene:C5orf15,Gene,C5orf15,N/A,N/A
gene:C5orf20,Gene,C5orf20,N/A,N/A
gene:C5orf22,Gene,C5orf22,N/A,N/A
gene:C5orf24,Gene,C5orf24,N/A,N/A
gene:C5orf27,Gene,C5orf27,N/A,N/A
gene:C5orf28,Gene,C5orf28,N/A,N/A
gene:C5orf30,Gene,C5orf30,N/A,N/A
gene:C5orf34,Gene,C5orf34,N/A,N/A
gene:C5orf38,Gene,C5orf38,N/A,N/A
gene:C5orf42,Gene,C5orf42,0.722227,0.773933
gene:C5orf45,Gene,C5orf45,N/A,N/A
gene:C5orf46,Gene,C5orf46,N/A,N/A
gene:C5orf47,Gene,C5orf47,N/A,N/A
gene:C5orf48,Gene,C5orf48,N/A,N/A
gene:C5orf49,Gene,C5orf49,N/A,N/A
gene:C5orf51,Gene,C5orf51,N/A,N/A
gene:C5orf52,Gene,C5orf52,N/A,N/A
gene:C5orf54,Gene,C5orf54,N/A,N/A
gene:C5orf55,Gene,C5orf55,N/A,N/A
gene:C5orf56,Gene,C5orf56,N/A,N/A
gene:C5orf58,Gene,C5orf58,N/A,N/A
gene:C5orf60,Gene,C5orf60,N/A,N/A
gene:C5orf63,Gene,C5orf63,N/A,N/A
gene:C5orf64,Gene,C5orf64,N/A,N/A
gene:C5orf66,Gene,C5orf66,N/A,N/A
gene:C6,Gene,C6,N/A,0.995839
gene:C6ORF165,Gene,C6ORF165,N/A,N/A
gene:C6orf1,Gene,C6orf1,N/A,N/A
gene:C6orf10,Gene,C6orf10,0.132078,0.164702
gene:C6orf106,Gene,C6orf106,N/A,N/A
gene:C6orf118,Gene,C6orf118,0.203979,0.211664
gene:C6orf120,Gene,C6orf120,N/A,N/A
gene:C6orf123,Gene,C6orf123,N/A,N/A
gene:C6orf132,Gene,C6orf132,N/A,N/A
gene:C6orf136,Gene,C6orf136,N/A,N/A
gene:C6orf141,Gene,C6orf141,N/A,N/A
gene:C6orf15,Gene,C6orf15,N/A,N/A
gene:C6orf163,Gene,C6orf163,N/A,N/A
gene:C6orf164,Gene,C6orf164,N/A,N/A
gene:C6orf183,Gene,C6orf183,N/A,N/A
gene:C6orf195,Gene,C6orf195,N/A,N/A
gene:C6orf201,Gene,C6orf201,N/A,N/A
gene:C6orf203,Gene,C6orf203,N/A,N/A
gene:C6orf211,Gene,C6orf211,N/A,N/A
gene:C6orf222,Gene,C6orf222,N/A,0.99451
gene:C6orf223,Gene,C6orf223,N/A,N/A
gene:C6orf226,Gene,C6orf226,N/A,N/A
gene:C6orf25,Gene,C6orf25,N/A,N/A
gene:C6orf47,Gene,C6orf47,N/A,N/A
gene:C6orf48,Gene,C6orf48,N/A,N/A
gene:C6orf52,Gene,C6orf52,N/A,N/A
gene:C6orf57,Gene,C6orf57,N/A,N/A
gene:C6orf58,Gene,C6orf58,N/A,N/A
gene:C6orf62,Gene,C6orf62,N/A,N/A
gene:C6orf89,Gene,C6orf89,N/A,N/A
gene:C7,Gene,C7,0.12096,0.146694
gene:C7orf13,Gene,C7orf13,N/A,N/A
gene:C7orf25,Gene,C7orf25,N/A,N/A
gene:C7orf26,Gene,C7orf26,N/A,N/A
gene:C7orf31,Gene,C7orf31,0.171684,0.16847
gene:C7orf33,Gene,C7orf33,N/A,N/A
gene:C7orf34,Gene,C7orf34,N/A,N/A
gene:C7orf43,Gene,C7orf43,N/A,N/A
gene:C7orf49,Gene,C7orf49,N/A,N/A
gene:C7orf50,Gene,C7orf50,N/A,N/A
gene:C7orf55,Gene,C7orf55,N/A,N/A
gene:C7orf55-LUC7L2,Gene,C7orf55-LUC7L2,N/A,N/A
gene:C7orf57,Gene,C7orf57,N/A,N/A
gene:C7orf60,Gene,C7orf60,N/A,N/A
gene:C7orf61,Gene,C7orf61,N/A,N/A
gene:C7orf62,Gene,C7orf62,N/A,0.995469
gene:C7orf63,Gene,C7orf63,0.958538,0.971946
gene:C7orf65,Gene,C7orf65,N/A,N/A
gene:C7orf66,Gene,C7orf66,N/A,N/A
gene:C7orf69,Gene,C7orf69,N/A,N/A
gene:C7orf71,Gene,C7orf71,N/A,N/A
gene:C7orf72,Gene,C7orf72,N/A,N/A
gene:C7orf73,Gene,C7orf73,N/A,N/A
gene:C7orf76,Gene,C7orf76,N/A,N/A
gene:C8A,Gene,C8A,N/A,N/A
gene:C8B,Gene,C8B,N/A,0.995034
gene:C8G,Gene,C8G,N/A,N/A
gene:C8orf12,Gene,C8orf12,N/A,N/A
gene:C8orf22,Gene,C8orf22,N/A,N/A
gene:C8orf31,Gene,C8orf31,N/A,N/A
gene:C8orf33,Gene,C8orf33,N/A,N/A
gene:C8orf34,Gene,C8orf34,0.145563,0.132203
gene:C8orf37,Gene,C8orf37,N/A,N/A
gene:C8orf4,Gene,C8orf4,N/A,N/A
gene:C8orf44,Gene,C8orf44,N/A,N/A
gene:C8orf46,Gene,C8orf46,N/A,N/A
gene:C8orf47,Gene,C8orf47,N/A,N/A
gene:C8orf48,Gene,C8orf48,N/A,N/A
gene:C8orf49,Gene,C8orf49,N/A,N/A
gene:C8orf56,Gene,C8orf56,N/A,N/A
gene:C8orf58,Gene,C8orf58,N/A,N/A
gene:C8orf59,Gene,C8orf59,N/A,N/A
gene:C8orf74,Gene,C8orf74,N/A,N/A
gene:C8orf76,Gene,C8orf76,N/A,N/A
gene:C8orf82,Gene,C8orf82,N/A,N/A
gene:C8orf86,Gene,C8orf86,N/A,N/A
gene:C8orf87,Gene,C8orf87,N/A,N/A
gene:C8orf88,Gene,C8orf88,N/A,N/A
gene:C9,Gene,C9,0.537907,0.669797
gene:C9orf106,Gene,C9orf106,N/A,N/A
gene:C9orf114,Gene,C9orf114,N/A,N/A
gene:C9orf116,Gene,C9orf116,N/A,N/A
gene:C9orf117,Gene,C9orf117,N/A,N/A
gene:C9orf129,Gene,C9orf129,N/A,N/A
gene:C9orf131,Gene,C9orf131,N/A,0.995
gene:C9orf135,Gene,C9orf135,N/A,N/A
gene:C9orf139,Gene,C9orf139,N/A,N/A
gene:C9orf142,Gene,C9orf142,N/A,N/A
gene:C9orf147,Gene,C9orf147,N/A,N/A
gene:C9orf152,Gene,C9orf152,N/A,N/A
gene:C9orf153,Gene,C9orf153,N/A,N/A
gene:C9orf156,Gene,C9orf156,N/A,N/A
gene:C9orf16,Gene,C9orf16,N/A,N/A
gene:C9orf163,Gene,C9orf163,N/A,N/A
gene:C9orf169,Gene,C9orf169,N/A,N/A
gene:C9orf170,Gene,C9orf170,N/A,N/A
gene:C9orf171,Gene,C9orf171,N/A,0.994407
gene:C9orf172,Gene,C9orf172,N/A,N/A
gene:C9orf173,Gene,C9orf173,N/A,N/A
gene:C9orf24,Gene,C9orf24,N/A,N/A
gene:C9orf3,Gene,C9orf3,N/A,N/A
gene:C9orf37,Gene,C9orf37,N/A,N/A
gene:C9orf40,Gene,C9orf40,N/A,N/A
gene:C9orf41,Gene,C9orf41,0.850039,0.99998
gene:C9orf43,Gene,C9orf43,N/A,N/A
gene:C9orf47,Gene,C9orf47,N/A,N/A
gene:C9orf50,Gene,C9orf50,N/A,N/A
gene:C9orf53,Gene,C9orf53,N/A,N/A
gene:C9orf57,Gene,C9orf57,N/A,N/A
gene:C9orf62,Gene,C9orf62,N/A,N/A
gene:C9orf64,Gene,C9orf64,N/A,N/A
gene:C9orf66,Gene,C9orf66,N/A,N/A
gene:C9orf69,Gene,C9orf69,N/A,N/A
gene:C9orf72,Gene,C9orf72,N/A,N/A
gene:C9orf78,Gene,C9orf78,N/A,N/A
gene:C9orf84,Gene,C9orf84,0.83099,0.87223
gene:C9orf85,Gene,C9orf85,N/A,N/A
gene:C9orf89,Gene,C9orf89,N/A,N/A
gene:C9orf9,Gene,C9orf9,N/A,N/A
gene:C9orf91,Gene,C9orf91,N/A,N/A
gene:C9orf96,Gene,C9orf96,N/A,N/A
gene:CA1,Gene,CA1,N/A,N/A
gene:CA10,Gene,CA10,N/A,N/A
gene:CA11,Gene,CA11,N/A,N/A
gene:CA12,Gene,CA12,N/A,N/A
gene:CA13,Gene,CA13,N/A,N/A
gene:CA14,Gene,CA14,N/A,N/A
gene:CA2,Gene,CA2,N/A,N/A
gene:CA3,Gene,CA3,N/A,N/A
gene:CA4,Gene,CA4,N/A,N/A
gene:CA5A,Gene,CA5A,N/A,N/A
gene:CA5B,Gene,CA5B,N/A,N/A
gene:CA5BP1,Gene,CA5BP1,N/A,N/A
gene:CA6,Gene,CA6,0.13872,0.0931585
gene:CA7,Gene,CA7,N/A,N/A
gene:CA8,Gene,CA8,N/A,N/A
gene:CA9,Gene,CA9,N/A,N/A
gene:CAAP1,Gene,CAAP1,N/A,N/A
gene:CAB39,Gene,CAB39,N/A,N/A
gene:CAB39L,Gene,CAB39L,N/A,N/A
gene:CABIN1,Gene,CABIN1,0.413013,0.325188
gene:CABLES1,Gene,CABLES1,N/A,N/A
gene:CABLES2,Gene,CABLES2,N/A,N/A
gene:CABP1,Gene,CABP1,N/A,N/A
gene:CABP2,Gene,CABP2,N/A,N/A
gene:CABP4,Gene,CABP4,N/A,N/A
gene:CABP5,Gene,CABP5,N/A,N/A
gene:CABP7,Gene,CABP7,N/A,N/A
gene:CABS1,Gene,CABS1,N/A,N/A
gene:CABYR,Gene,CABYR,N/A,N/A
gene:CACFD1,Gene,CACFD1,N/A,N/A
gene:CACHD1,Gene,CACHD1,0.299442,0.342949
gene:CACNA1A,Gene,CACNA1A,0.264083,0.119399
gene:CACNA1B,Gene,CACNA1B,0.18922,0.06275
gene:CACNA1C,Gene,CACNA1C,N/A,0.995303
gene:CACNA1D,Gene,CACNA1D,N/A,0.609397
gene:CACNA1E,Gene,CACNA1E,N/A,0.995415
gene:CACNA1F,Gene,CACNA1F,N/A,0.995276
gene:CACNA1G,Gene,CACNA1G,N/A,0.994992
gene:CACNA1H,Gene,CACNA1H,N/A,0.978368
gene:CACNA1I,Gene,CACNA1I,0.468629,0.418846
gene:CACNA1S,Gene,CACNA1S,0.167946,0.128397
gene:CACNA2D1,Gene,CACNA2D1,0.439503,0.350694
gene:CACNA2D2,Gene,CACNA2D2,N/A,0.996001
gene:CACNA2D3,Gene,CACNA2D3,0.293888,0.31034
gene:CACNA2D4,Gene,CACNA2D4,0.473935,0.535369
gene:CACNB1,Gene,CACNB1,N/A,N/A
gene:CACNB2,Gene,CACNB2,N/A,0.994257
gene:CACNB3,Gene,CACNB3,N/A,N/A
gene:CACNB4,Gene,CACNB4,N/A,N/A
gene:CACNG1,Gene,CACNG1,N/A,N/A
gene:CACNG2,Gene,CACNG2,N/A,N/A
gene:CACNG3,Gene,CACNG3,0.434132,0.51134
gene:CACNG4,Gene,CACNG4,N/A,N/A
gene:CACNG5,Gene,CACNG5,9.74251e-09,0.994491
gene:CACNG6,Gene,CACNG6,N/A,N/A
gene:CACNG7,Gene,CACNG7,N/A,N/A
gene:CACNG8,Gene,CACNG8,N/A,N/A
gene:CACTIN,Gene,CACTIN,N/A,N/A
gene:CACUL1,Gene,CACUL1,N/A,0.995941
gene:CACYBP,Gene,CACYBP,N/A,N/A
gene:CAD,Gene,CAD,N/A,0.994172
gene:CADM1,Gene,CADM1,N/A,0.99369
gene:CADM2,Gene,CADM2,N/A,0.993949
gene:CADM3,Gene,CADM3,N/A,0.994842
gene:CADM4,Gene,CADM4,N/A,N/A
gene:CADPS,Gene,CADPS,N/A,0.833048
gene:CADPS2,Gene,CADPS2,0.176069,0.128362
gene:CAGE1,Gene,CAGE1,N/A,N/A
gene:CALB1,Gene,CALB1,N/A,N/A
gene:CALB2,Gene,CALB2,N/A,N/A
gene:CALCA,Gene,CALCA,N/A,N/A
gene:CALCB,Gene,CALCB,N/A,N/A
gene:CALCOCO1,Gene,CALCOCO1,N/A,N/A
gene:CALCOCO2,Gene,CALCOCO2,N/A,N/A
gene:CALCR,Gene,CALCR,N/A,0.995102
gene:CALCRL,Gene,CALCRL,N/A,N/A
gene:CALD1,Gene,CALD1,0.199568,0.170238
gene:CALHM1,Gene,CALHM1,N/A,N/A
gene:CALHM2,Gene,CALHM2,N/A,N/A
gene:CALHM3,Gene,CALHM3,N/A,N/A
gene:CALM1,Gene,CALM1,N/A,N/A
gene:CALM2,Gene,CALM2,N/A,N/A
gene:CALM3,Gene,CALM3,N/A,N/A
gene:CALML3,Gene,CALML3,N/A,N/A
gene:CALML4,Gene,CALML4,N/A,N/A
gene:CALML5,Gene,CALML5,N/A,N/A
gene:CALML6,Gene,CALML6,N/A,N/A
gene:CALN1,Gene,CALN1,N/A,N/A
gene:CALR,Gene,CALR,N/A,N/A
gene:CALR3,Gene,CALR3,N/A,N/A
gene:CALU,Gene,CALU,N/A,N/A
gene:CALY,Gene,CALY,N/A,N/A
gene:CAMK1,Gene,CAMK1,N/A,N/A
gene:CAMK1D,Gene,CAMK1D,0.3724,0.412083
gene:CAMK1G,Gene,CAMK1G,N/A,N/A
gene:CAMK2A,Gene,CAMK2A,N/A,N/A
gene:CAMK2B,Gene,CAMK2B,N/A,N/A
gene:CAMK2D,Gene,CAMK2D,N/A,N/A
gene:CAMK2G,Gene,CAMK2G,N/A,0.996143
gene:CAMK2N1,Gene,CAMK2N1,N/A,N/A
gene:CAMK2N2,Gene,CAMK2N2,N/A,N/A
gene:CAMK4,Gene,CAMK4,N/A,N/A
gene:CAMKK1,Gene,CAMKK1,N/A,N/A
gene:CAMKK2,Gene,CAMKK2,0.828772,0.99999
gene:CAMKMT,Gene,CAMKMT,N/A,N/A
gene:CAMKV,Gene,CAMKV,N/A,N/A
gene:CAMLG,Gene,CAMLG,N/A,N/A
gene:CAMP,Gene,CAMP,N/A,N/A
gene:CAMSAP1,Gene,CAMSAP1,0.792194,0.839434
gene:CAMSAP2,Gene,CAMSAP2,N/A,0.99539
gene:CAMSAP3,Gene,CAMSAP3,0.407635,0.436276
gene:CAMTA1,Gene,CAMTA1,N/A,0.994447
gene:CAMTA2,Gene,CAMTA2,0.155893,0.0388345
gene:CAND1,Gene,CAND1,0.319532,0.344279
gene:CAND2,Gene,CAND2,N/A,0.995897
gene:CANT1,Gene,CANT1,N/A,N/A
gene:CANX,Gene,CANX,N/A,N/A
gene:CAP1,Gene,CAP1,N/A,N/A
gene:CAP2,Gene,CAP2,N/A,N/A
gene:CAPG,Gene,CAPG,N/A,N/A
gene:CAPN1,Gene,CAPN1,N/A,N/A
gene:CAPN10,Gene,CAPN10,N/A,N/A
gene:CAPN11,Gene,CAPN11,N/A,N/A
gene:CAPN12,Gene,CAPN12,N/A,0.994229
gene:CAPN13,Gene,CAPN13,N/A,N/A
gene:CAPN14,Gene,CAPN14,N/A,0.423732
gene:CAPN15,Gene,CAPN15,N/A,N/A
gene:CAPN2,Gene,CAPN2,0.883067,0.999983
gene:CAPN3,Gene,CAPN3,N/A,N/A
gene:CAPN5,Gene,CAPN5,N/A,0.993684
gene:CAPN6,Gene,CAPN6,N/A,N/A
gene:CAPN7,Gene,CAPN7,N/A,0.995508
gene:CAPN8,Gene,CAPN8,N/A,N/A
gene:CAPN9,Gene,CAPN9,0.361568,0.376378
gene:CAPNS1,Gene,CAPNS1,N/A,N/A
gene:CAPNS2,Gene,CAPNS2,N/A,N/A
gene:CAPRIN1,Gene,CAPRIN1,N/A,0.994929
gene:CAPRIN2,Gene,CAPRIN2,0.653716,0.723918
gene:CAPS,Gene,CAPS,N/A,N/A
gene:CAPS2,Gene,CAPS2,0.041612,0.0292424
gene:CAPSL,Gene,CAPSL,N/A,N/A
gene:CAPZA1,Gene,CAPZA1,N/A,N/A
gene:CAPZA2,Gene,CAPZA2,N/A,N/A
gene:CAPZA3,Gene,CAPZA3,N/A,N/A
gene:CAPZB,Gene,CAPZB,N/A,N/A
gene:CARD10,Gene,CARD10,0.163807,0.124006
gene:CARD11,Gene,CARD11,0.289058,0.151273
gene:CARD14,Gene,CARD14,N/A,N/A
gene:CARD16,Gene,CARD16,N/A,N/A
gene:CARD17,Gene,CARD17,N/A,N/A
gene:CARD18,Gene,CARD18,N/A,N/A
gene:CARD6,Gene,CARD6,0.207511,0.0853611
gene:CARD8,Gene,CARD8,N/A,N/A
gene:CARD9,Gene,CARD9,0.099877,0.114308
gene:CARF,Gene,CARF,N/A,N/A
gene:CARHSP1,Gene,CARHSP1,N/A,N/A
gene:CARKD,Gene,CARKD,N/A,N/A
gene:CARM1,Gene,CARM1,N/A,N/A
gene:CARNS1,Gene,CARNS1,N/A,N/A
gene:CARS,Gene,CARS,N/A,0.99548
gene:CARS2,Gene,CARS2,N/A,N/A
gene:CARTPT,Gene,CARTPT,N/A,N/A
gene:CASC1,Gene,CASC1,N/A,0.994816
gene:CASC10,Gene,CASC10,N/A,N/A
gene:CASC14,Gene,CASC14,N/A,N/A
gene:CASC15,Gene,CASC15,N/A,N/A
gene:CASC2,Gene,CASC2,N/A,N/A
gene:CASC3,Gene,CASC3,N/A,N/A
gene:CASC4,Gene,CASC4,N/A,N/A
gene:CASC5,Gene,CASC5,N/A,0.884438
gene:CASD1,Gene,CASD1,N/A,0.995097
gene:CASK,Gene,CASK,N/A,N/A
gene:CASKIN1,Gene,CASKIN1,N/A,0.995262
gene:CASKIN2,Gene,CASKIN2,0.489205,0.542823
gene:CASP1,Gene,CASP1,N/A,N/A
gene:CASP10,Gene,CASP10,N/A,N/A
gene:CASP12,Gene,CASP12,N/A,N/A
gene:CASP14,Gene,CASP14,N/A,N/A
gene:CASP16,Gene,CASP16,N/A,N/A
gene:CASP2,Gene,CASP2,N/A,N/A
gene:CASP3,Gene,CASP3,N/A,N/A
gene:CASP4,Gene,CASP4,N/A,N/A
gene:CASP5,Gene,CASP5,0.154484,0.144059
gene:CASP6,Gene,CASP6,N/A,N/A
gene:CASP7,Gene,CASP7,N/A,N/A
gene:CASP8,Gene,CASP8,0.182358,0.134272
gene:CASP8AP2,Gene,CASP8AP2,0.901518,0.929332
gene:CASP9,Gene,CASP9,N/A,N/A
gene:CASQ1,Gene,CASQ1,N/A,N/A
gene:CASQ2,Gene,CASQ2,N/A,N/A
gene:CASR,Gene,CASR,N/A,0.994389
gene:CASS4,Gene,CASS4,N/A,0.994156
gene:CAST,Gene,CAST,N/A,N/A
gene:CASZ1,Gene,CASZ1,N/A,0.99478
gene:CAT,Gene,CAT,N/A,N/A
gene:CATSPER1,Gene,CATSPER1,0.0962567,0.108262
gene:CATSPER2,Gene,CATSPER2,N/A,N/A
gene:CATSPER3,Gene,CATSPER3,0.531758,0.61937
gene:CATSPER4,Gene,CATSPER4,N/A,N/A
gene:CATSPERB,Gene,CATSPERB,0.257016,0.165455
gene:CATSPERD,Gene,CATSPERD,N/A,N/A
gene:CATSPERG,Gene,CATSPERG,N/A,N/A
gene:CAV1,Gene,CAV1,N/A,N/A
gene:CAV2,Gene,CAV2,N/A,N/A
gene:CAV3,Gene,CAV3,N/A,N/A
gene:CBFA2T2,Gene,CBFA2T2,N/A,0.995888
gene:CBFA2T3,Gene,CBFA2T3,N/A,0.996084
gene:CBFB,Gene,CBFB,N/A,N/A
gene:CBL,Gene,CBL,N/A,0.995043
gene:CBLB,Gene,CBLB,N/A,N/A
gene:CBLC,Gene,CBLC,N/A,N/A
gene:CBLL1,Gene,CBLL1,N/A,N/A
gene:CBLN1,Gene,CBLN1,N/A,N/A
gene:CBLN2,Gene,CBLN2,N/A,N/A
gene:CBLN3,Gene,CBLN3,N/A,N/A
gene:CBLN4,Gene,CBLN4,N/A,N/A
gene:CBR1,Gene,CBR1,N/A,N/A
gene:CBR3,Gene,CBR3,N/A,N/A
gene:CBR4,Gene,CBR4,N/A,N/A
gene:CBS,Gene,CBS,N/A,N/A
gene:CBWD1,Gene,CBWD1,N/A,N/A
gene:CBWD2,Gene,CBWD2,N/A,N/A
gene:CBWD3,Gene,CBWD3,N/A,N/A
gene:CBWD5,Gene,CBWD5,N/A,N/A
gene:CBWD6,Gene,CBWD6,N/A,N/A
gene:CBX1,Gene,CBX1,N/A,N/A
gene:CBX2,Gene,CBX2,N/A,N/A
gene:CBX3,Gene,CBX3,N/A,N/A
gene:CBX4,Gene,CBX4,N/A,N/A
gene:CBX5,Gene,CBX5,N/A,N/A
gene:CBX6,Gene,CBX6,N/A,N/A
gene:CBX7,Gene,CBX7,N/A,N/A
gene:CBX8,Gene,CBX8,N/A,0.99482
gene:CBY1,Gene,CBY1,N/A,N/A
gene:CC2D1A,Gene,CC2D1A,N/A,0.99583
gene:CC2D1B,Gene,CC2D1B,N/A,0.995456
gene:CC2D2A,Gene,CC2D2A,N/A,0.994508
gene:CC2D2B,Gene,CC2D2B,N/A,N/A
gene:CCAR1,Gene,CCAR1,N/A,0.995733
gene:CCAR2,Gene,CCAR2,N/A,0.99512
gene:CCBE1,Gene,CCBE1,N/A,0.995563
gene:CCBL1,Gene,CCBL1,N/A,N/A
gene:CCBL2,Gene,CCBL2,N/A,N/A
gene:CCDC101,Gene,CCDC101,N/A,N/A
gene:CCDC102A,Gene,CCDC102A,N/A,N/A
gene:CCDC102B,Gene,CCDC102B,N/A,0.995066
gene:CCDC103,Gene,CCDC103,N/A,N/A
gene:CCDC104,Gene,CCDC104,N/A,N/A
gene:CCDC105,Gene,CCDC105,N/A,N/A
gene:CCDC106,Gene,CCDC106,N/A,N/A
gene:CCDC107,Gene,CCDC107,N/A,N/A
gene:CCDC108,Gene,CCDC108,N/A,0.993702
gene:CCDC109B,Gene,CCDC109B,N/A,N/A
gene:CCDC11,Gene,CCDC11,N/A,N/A
gene:CCDC110,Gene,CCDC110,N/A,0.994929
gene:CCDC112,Gene,CCDC112,N/A,N/A
gene:CCDC113,Gene,CCDC113,N/A,N/A
gene:CCDC114,Gene,CCDC114,N/A,N/A
gene:CCDC115,Gene,CCDC115,N/A,N/A
gene:CCDC116,Gene,CCDC116,N/A,0.996081
gene:CCDC117,Gene,CCDC117,N/A,N/A
gene:CCDC12,Gene,CCDC12,N/A,N/A
gene:CCDC120,Gene,CCDC120,N/A,0.996443
gene:CCDC121,Gene,CCDC121,N/A,N/A
gene:CCDC122,Gene,CCDC122,N/A,N/A
gene:CCDC124,Gene,CCDC124,N/A,N/A
gene:CCDC125,Gene,CCDC125,N/A,N/A
gene:CCDC126,Gene,CCDC126,N/A,N/A
gene:CCDC127,Gene,CCDC127,N/A,N/A
gene:CCDC129,Gene,CCDC129,N/A,0.995295
gene:CCDC13,Gene,CCDC13,0.340184,0.458636
gene:CCDC130,Gene,CCDC130,N/A,N/A
gene:CCDC132,Gene,CCDC132,0.355412,0.368249
gene:CCDC134,Gene,CCDC134,N/A,N/A
gene:CCDC135,Gene,CCDC135,0.473302,0.535042
gene:CCDC136,Gene,CCDC136,0.422648,0.463902
gene:CCDC137,Gene,CCDC137,N/A,N/A
gene:CCDC138,Gene,CCDC138,N/A,N/A
gene:CCDC14,Gene,CCDC14,0.163819,0.123463
gene:CCDC140,Gene,CCDC140,N/A,0.995784
gene:CCDC141,Gene,CCDC141,0.215804,0.119397
gene:CCDC142,Gene,CCDC142,N/A,N/A
gene:CCDC144A,Gene,CCDC144A,0.290049,0.330848
gene:CCDC144B,Gene,CCDC144B,N/A,N/A
gene:CCDC144NL,Gene,CCDC144NL,N/A,N/A
gene:CCDC146,Gene,CCDC146,0.417906,0.493741
gene:CCDC147,Gene,CCDC147,0.345862,0.378901
gene:CCDC148,Gene,CCDC148,N/A,N/A
gene:CCDC149,Gene,CCDC149,N/A,N/A
gene:CCDC15,Gene,CCDC15,N/A,0.994583
gene:CCDC150,Gene,CCDC150,0.170009,0.144627
gene:CCDC151,Gene,CCDC151,N/A,N/A
gene:CCDC152,Gene,CCDC152,N/A,N/A
gene:CCDC153,Gene,CCDC153,N/A,N/A
gene:CCDC154,Gene,CCDC154,N/A,0.995005
gene:CCDC155,Gene,CCDC155,N/A,N/A
