"Gene","Clinically_Sig"
"CCDC146",1
"EMC2",0
"TAF2",0
"SLCO5A1",0
"ATRX",1
"NEURL1",0
"BMS1",0
"CYP2C8",0
"MUC2",0
"OR5M11",0
"UVRAG",0
"NOP2",0
"MIR495",0
"IGHG2",0
"SIX4",0
"ACSM2B",0
"ITGAM",0
"HYDIN",1
"WNT3",0
"C17orf47",0
"CD300A",0
"THEG",0
"ZNF571",0
"EEF2",0
"IRGC",0
"EXOC3L2",0
"LILRB2",0
"KIR2DL3",0
"OR7E24",0
"WNT2B",1
"SCN3A",1
"ZNF804A",0
"FNDC4",0
"COLQ",1
"ROBO1",1
"HELT",0
"SLCO6A1",0
"MAML1",0
"HECA",0
"LGSN",0
"LRWD1",0
"CHRM2",0
"VPS41",1
"POM121L12",0
"RP1",1
"SVEP1",0
"PRPS2",0
"SSX9",0
"MSN",1
"HEPH",0
"CRTAC1",0
"OR8D4",0
"OR51E1",0
"OR4C12",0
"DEAF1",0
"KDM2B",0
"OR6C65",0
"KCNMB4",0
"PAN3",0
"RXFP2",0
"IGHV3.21",0
"CERS3",1
"MYH13",0
"MPP3",0
"ASXL3",1
"CCDC105",0
"TMEM161A",0
"HNRNPCL1",0
"GPR52",0
"KIF21B",0
"HSPG2",1
"OR2T4",0
"SLC2A1",1
"CDKN2C",1
"ISM1",0
"LCT",1
"LRP2",1
"RHOQ",0
"SOX14",0
"SCN10A",0
"NPY5R",0
"NSUN7",0
"GABRB2",1
"GABRA6",0
"GABRP",0
"IL31RA",0
"SGK1",0
"C6orf15",0
"KCNQ5",1
"CPA2",0
"STK31",0
"NME8",0
"HECW1",0
"SRCRB4D",0
"KIAA1324L",0
"MCM7",0
"CSMD3",0
"FAM150A",0
"PTPN3",0
"PALM2.AKAP2",0
"PPP1R26",0
"CHUK",0
"LZTS2",0
"BAG3",1
"MKX",0
"SYT15",0
"HKDC1",1
"GRAMD1B",0
"TMEM132A",0
"YIF1A",0
"C11orf30",0
"HECTD4",0
"FBXO21",0
"LRRK2",1
"KRT82",0
"KRT6A",0
"CSAD",0
"DDIT3",0
"CEP290",1
"COL4A1",1
"CDX2",0
"BRCA2",1
"AHNAK2",0
"TRAV9.1",0
"CPSF2",0
"NEDD4",0
"CA12",0
"PIF1",0
"TICRR",0
"PDXDC1",0
"AQP8",0
"CLDN9",0
"CCDC102A",0
"DNAH9",1
"FLCN",1
"TOP2A",0
"EPX",0
"SLC13A5",1
"MIB1",0
"EMILIN2",0
"NOL4",0
"C18orf25",0
"DSEL",0
"MAST3",1
"CILP2",0
"ZNF728",0
"SIRT2",0
"NTNG1",0
"FLG2",0
"PGLYRP3",0
"KCNN3",0
"TMEM79",0
"FCRL5",0
"CD34",0
"RAP1GAP",0
"HLX",0
"FBXO28",0
"OR2M2",0
"LRRC41",0
"C1orf173",0
"NOP56",0
"HSPA12B",0
"NCOA5",0
"CCDC116",0
"CABIN1",0
"MYO18B",1
"LDOC1L",0
"NEB",1
"MAP2",0
"STK36",0
"NEU2",0
"MAP4K3",0
"C2orf78",0
"MYLK",1
"WNT7A",1
"COPB2",0
"CP",1
"TBL1XR1",1
"AZI2",0
"PRKAR2A",0
"CCDC71",0
"RNF123",0
"RRP9",0
"NISCH",0
"PRICKLE2",1
"VGLL3",0
"BRPF1",1
"CPOX",0
"MFAP3L",0
"PI4K2B",0
"FIP1L1",0
"SORCS2",0
"RAD50",1
"TRPC7",0
"TCOF1",1
"DBN1",0
"RUFY1",0
"MROH2B",0
"PAPD7",0
"HACE1",1
"LATS1",0
"VARS2",1
"MSH5",1
"COL9A1",1
"TNPO3",0
"ABCB8",0
"DPP6",0
"KLHL7",1
"PCLO",1
"KLHL38",0
"LONRF1",0
"DOCK5",0
"COL15A1",0
"ODF2",0
"FAM166A",0
"ACTRT1",0
"SLITRK2",0
"ZBED1",0
"FAM47C",0
"CXXC1P1",0
"KDM5C",1
"FGD1",1
"FAAH2",0
"ZDHHC15",0
"SYTL4",0
"PDCD11",0
"CHEK1",1
"LCP1",0
"NIN",1
"BRCA1",1
"CEACAM6",0
"ATF3",0
"ELAVL4",0
"PCK1",0
"FARS2",1
"CARD11",1
"MID1",1
"XIST",0
"CUBN",1
"GOLGA7B",0
"C11orf53",0
"SLC1A2",0
"LNX2",0
"EXOC5",0
"ELL3",0
"GABPB1",0
"TNRC6A",0
"SLC12A3",1
"ZFHX3",1
"TRAF4",0
"ALOX15B",0
"DSC2",0
"FCGBP",0
"CEACAM1",0
"MAMSTR",0
"PEG3",0
"PRAMEF12",0
"PDE4DIP",0
"ASTN1",1
"LAMC1",0
"PLD5",0
"IQCC",0
"SFPQ",0
"PRKAA2",0
"SEL1L2",0
"CPXM1",0
"MYT1",0
"KRTAP13.3",0
"AP000304.12",0
"ERG",0
"ETAA1",0
"EPHB1",0
"PAK2",0
"PXK",0
"ALPK1",0
"MTNR1A",0
"CWH43",0
"CABS1",0
"SHROOM3",0
"HIST1H3B",0
"SYNGAP1",1
"UHRF1BP1",0
"MLIP",1
"LAMB1",1
"DENND2A",0
"DPYS",1
"OC90",0
"CPSF1",0
"KIFC2",0
"CSMD1",0
"ZFHX4",0
"PSKH2",0
"CDH17",0
"ADAMTSL1",0
"SPATA31D5P",0
"TMEM164",0
"GPR112",0
"TCF7L2",1
"PCDH15",1
"TECTA",1
"IGF2",1
"NADSYN1",0
"LRP1",0
"NAV3",1
"ZDHHC20",0
"FANCA",1
"ITGAE",0
"ACADVL",1
"PTPN14",1
"SZT2",1
"CPT2",1
"LRRC7",0
"AL031666.2",0
"SLC4A10",1
"PDGFRA",0
"CTNND2",0
"CDH10",0
"GRM3",0
"PREX2",0
"CRISPLD1",0
"IMPA1",1
"FRMPD3",0
"COL17A1",1
"MKI67",0
"KLF6",0
"FBXO18",0
"DDX21",0
"LRIT1",0
"SIDT2",0
"CARS",1
"INTS5",0
"TM7SF2",0
"OR2AG2",0
"CCND1",0
