"Gene","Clinically_Sig"
"DDX18",0
"AMMECR1L",0
"FAM168B",0
"CCNT2",0
"ZRANB3",0
"FAP",0
"SCN7A",0
"PHOSPHO2",0
"HOXD9",0
"FKBP7",0
"FASTKD2",1
"CRYGC",1
"DNAJB2",0
"GMPPA",1
"COL4A4",1
"TRPM8",0
"PPP1R7",0
"CIB4",0
"EMILIN1",1
"SLC4A1AP",0
"SRD5A2",1
"TTC27",0
"SIX3",1
"CRIPT",1
"KIAA1841",0
"SERTAD2",0
"ARHGAP25",0
"C2orf42",0
"REG3A",0
"LSAMP",0
"CD86",0
"ATP2C1",1
"NEK11",0
"BFSP2",0
"SLC9A9",1
"PLOD2",1
"AGTR1",0
"PDCD10",0
"TNIK",0
"SPATA16",0
"NAALADL2",0
"ATP11B",0
"VPS8",0
"LPP",0
"TP63",1
"PYDC2",0
"ZDHHC19",0
"EPM2AIP1",0
"OR5K4",0
"OR5K3",0
"ARHGEF38",0
"TMEM155",0
"EXOSC9",1
"PET112",0
"TDO2",0
"FGFBP1",0
"CBR4",0
"C4orf27",0
"FAM149A",0
"FAM114A1",0
"ZNF595",0
"TMPRSS11A",0
"ACOX3",0
"GIN1",0
"MEGF10",1
"TIFAB",0
"PCDHB15",0
"KIAA0141",0
"KIF4B",0
"HAVCR1",0
"MARCH11",0
"RARS",1
"LMAN2",0
"FLT4",1
"C5orf22",0
"FGF10",1
"HCN1",1
"ADAMTS16",0
"ANKRA2",0
"ADCY2",0
"BEND3",0
"PTPRK",0
"MYB",0
"QKI",0
"DLL1",1
"HIST1H4H",0
"ABT1",0
"SAYSD1",0
"MEP1A",0
"PTCHD4",0
"NT5E",1
"SNX14",0
"PNRC1",0
"FUT9",0
"TAS2R16",0
"GRM8",0
"NUP205",0
"DGKB",0
"C7orf31",0
"GCK",1
"FOXK1",0
"MMD2",0
"ERV3.1",0
"GNAI1",0
"ZSCAN25",0
"OXR1",0
"TBC1D31",0
"ATAD2",0
"MTSS1",0
"TMEM71",0
"GLI4",0
"OPLAH",1
"TUSC3",0
"MTMR7",0
"CHRNA6",0
"UBXN2B",0
"CRH",0
"DEFA4",0
"RAD54B",0
"KIAA1958",0
"ORM1",0
"BRINP1",0
"CRB2",1
"ST6GALNAC4",0
"DNM1",0
"CAMSAP1",0
"SEC16A",0
"IFNA4",0
"IFNA7",0
"ATP8B5P",0
"TMC1",1
"SPATA31D1",0
"SYK",0
"MIR513B",0
"CXorf67",0
"HDAC8",1
"FAM133A",0
"CYP17A1",1
"SEC61A2",0
"CDNF",0
"PTCHD3",0
"VSTM4",0
"AGAP7",0
"NCOA4",0
"DKK1",0
"VCL",0
"ZMIZ1",0
"NRG3",0
"PIK3AP1",0
"C11orf87",0
"LAYN",0
"C2CD2L",0
"OR10G9",0
"FEZ1",0
"NTM",0
"RRM1",0
"CD82",0
"PTPRJ",0
"OR4C15",0
"OR5M9",0
"SLC43A3",0
"OR56B1",0
"GLYATL1",0
"DAK",0
"ATG2A",0
"DPP3",0
"RAD9A",0
"SLCO2B1",0
"MTNR1B",0
"SCYL2",1
"SLC5A8",0
"SVOP",0
"TAS2R14",0
"LRRC43",0
"TMEM132D",0
"SLC2A13",0
"PDZRN4",0
"TFCP2",0
"MLF2",0
"BEST3",0
"NANOGP1",0
"CLEC4A",0
"MFAP5",0
"ANKS1B",0
"F10",1
"MTMR6",0
"FAM124A",0
"KLF12",0
"IGHV2.70",0
"OR4K5",0
"SLC7A7",1
"RABGGTA",0
"FRMD6",0
"CEP128",0
"AQR",0
"SHF",0
"RNF111",0
"KIAA1024",0
"ABHD2",0
"RRN3",0
"TMC7",0
"GPR139",0
"IL27",0
"PKMYT1",0
"SEPT1",0
"ZNF747",0
"ZNF629",0
"CYLD",1
"MSLN",0
"TMEM186",0
"MYH3",1
"HS3ST3A1",0
"TMIGD1",0
"ASPA",1
"NR1D1",0
"KRT25",0
"KRTAP4.2",0
"GPATCH8",0
"HOXB6",0
"ZNF652",0
"MKS1",1
"CLTC",1
"PSMD12",1
"RHBDF2",0
"ENPP7",0
"POTEC",0
"RNF138",0
"SLC14A1",0
"SERPINB13",0
"ZNF407",0
"NFATC1",0
"MRI1",0
"ZNF333",0
"ZNF253",0
"CYP2A6",0
"PSG3",0
"CD33",0
"ZNF611",0
"CTB.61M7.1",0
"ZBTB45",0
"UBE4B",0
"GPSM2",0
"OLFML3",0
"TNFRSF1B",0
"PRAMEF2",0
"ANKRD35",0
"HORMAD1",1
"TUFT1",0
"NPR1",0
"INTS3",0
"CHRNB2",0
"ADAR",1
"ARHGEF2",0
"GPATCH4",0
"NTRK1",1
"CELA2A",0
"OR10X1",0
"OR6K6",0
"FCER1A",0
"CD84",0
"MROH9",0
"NR5A2",0
"ATP2B4",0
"CR1L",0
"KCNK2",0
"WNT3A",0
"EPHA8",0
"DISC1",0
"PGBD2",0
"DHDDS",0
"TMEM39B",0
"SNIP1",0
"CYP4Z1",0
"AJAP1",0
"SLC44A5",0
"MSH4",0
"ASB17",0
"AK5",0
"IFI44",0
"LPPR5",0
"SIRPG",0
"GZF1",0
"TMC2",0
"HCK",0
"PTGIS",0
"GABPA",0
"APP",1
"MRPS6",0
"TANGO2",0
"PPIL2",0
"IGLV3.27",0
"TCN2",1
"SMTN",0
"BPIFC",0
"HMOX1",0
"IL36G",0
"KCNJ3",0
"LY75.CD302",0
"WIPF1",0
"RBM45",0
"MFSD6",0
"SATB2",1
"NBEAL1",0
"SDC1",0
"CYP20A1",0
"PTH2R",0
"RHBDD1",0
"ALPPL2",0
"ATG4B",0
"TSSC1",0
"CEBPZ",0
"DNAH6",0
"IGKV1.5",0
"COX5B",0
"KIAA1524",0
"RETNLB",0
"HGD",1
"PARP9",0
"TOPBP1",0
"NUP210",0
"RBP2",0
"NMD3",0
"POLR2H",0
"C3orf35",0
"EIF1B",0
"CCR5",0
"FEZF2",0
"CNTN3",0
"CLNK",0
"C4orf21",0
"PLK4",1
"OTUD4",0
"FBXW7",1
"GRIA2",1
"GABRG1",0
"CNGA1",1
"LNX1",0
"EVC2",1
"CENPC",0
"RASGEF1B",0
"PDHA2",0
"SEPT8",0
"DDX46",0
"PCDHA1",0
"PCDHB1",0
"PCDHB4",0
"PCDHB6",0
"PCDHB18",0
"PCDHGC3",0
"KCTD16",0
"FAM114A2",0
"EBF1",0
"SPEF2",0
"LIFR",1
"MRPS30",0
"ANKRD55",0
"NSUN2",1
"BVES",0
"GPRC6A",0
"GOPC",0
"ARG1",1
"EYA4",1
"CCDC28A",0
"SERAC1",1
"SLC22A2",0
"PDCD2",0
"TRIM27",0
"OR2H2",0
"HSPA1A",0
"CFB",1
"MRPL2",0
"KHDRBS2",0
"LY86",0
"TTK",0
"MOGAT3",0
"COG5",1
"SLC26A4",1
"CPED1",0
"PAX4",0
"CALD1",0
"TRBV4.2",0
"TRBV10.2",0
"PIP",0
"TPK1",1
"IGF2BP3",0
"NPSR1",0
"AOAH",0
"TRGV4",0
"INHBA",0
"ZNF679",0
"UPK3B",0
"SEMA3E",0
"PPP1R9A",0
"BAALC",0
"USP17L2",0
"TRMT12",0
"LY6K",0
"CYP11B2",1
"SORBS3",0
"ADAM28",0
"RAB11FIP1",0
"FGFR1",1
"DNAJC5B",0
"CPA6",1
"TPD52",0
"CA13",0
"TMEM67",1
"FAM206A",0
"PTGS1",0
"SURF6",0
"ANAPC2",0
"IFNB1",0
"NOL6",0
"CBWD6",0
"SMC5",0
"RORB",1
"PRUNE2",0
"SUSD3",0
"RP1.164F3.8",0
"GPRASP2",0
"RGAG1",0
"UBE2A",0
"ARHGEF6",0
"PLXNB3",0
"WDR13",0
"TRO",0
"USP51",0
"RAB41",0
"TGIF2LX",0
"WDR96",1
"SHOC2",0
"GLRX3",0
"MTG1",0
"CYP26C1",0
"PRG3",0
"RRP8",0
"TYR",1
"ALDH2",0
"ETV6",1
"SPRYD4",0
"DCTN2",0
"PLEKHG6",0
"A2M",0
"TNFRSF19",0
"GCH1",1
"EXD2",0
"NOMO2",0
"GID4",0
"ALDH3A1",0
"CCDC47",0
"MOCOS",0
"ALKBH6",0
"CD53",0
"CRP",0
"SH2D1B",0
"GNL2",0
"FOXJ3",0
"ARHGAP29",0
"EDEM2",0
"KYNU",1
"SCRN3",0
"TMEFF2",0
"SERPINI1",0
"LRCH3",0
"BANK1",0
"ATP8A1",0
"SLCO4C1",0
"CD14",0
"PCDHGB6",0
"NSG2",0
"ZFP2",0
"CDH6",0
"PLK2",0
"PPWD1",0
"ENC1",0
"F2R",0
"PAK1IP1",0
"CLDN15",0
"CNOT4",0
"CLCN1",1
"MAD1L1",0
"ACN9",0
"TTPA",1
"OSGIN2",0
"NUP214",0
"NUP62CL",0
"TKTL1",0
"MAGEE2",0
"GLUD1",0
"MICAL2",0
"SPTY2D1",0
"UBE2L6",0
"CABP4",0
"PPME1",0
"KLRC3",0
"PRH1",0
"DNAH10",1
"CCDC91",0
"MARK3",0
"PACS2",0
"OR4K2",0
"NEDD8.MDP1",0
"SEC23A",0
"OTX2",1
"OR4N4",0
"CCNF",0
"SH2B1",0
"SETD6",0
"DHODH",1
"HSDL1",0
"USP6",0
"ANKFN1",0
"DSC1",0
"EPHX3",0
"DYRK1B",0
"NLRP12",1
"ZSCAN4",0
"NOTCH2",1
"CDC73",1
"NVL",0
"LRRIQ3",0
"PTBP2",0
"OSBPL2",0
"KRTAP24.1",0
"AIRE",1
"PRMT2",0
"C2orf76",0
"CCDC148",0
"FAM124B",0
"PREPL",1
"CCDC85A",0
"SLC4A5",0
"IGKV1.9",0
"CH17.132F21.1",0
"P2RY1",0
"TRANK1",0
"RYBP",0
"SLC34A2",0
"TRMT44",0
"HS3ST5",0
"DSE",1
"TAAR5",0
"GMPR",0
"GCLC",0
"GET4",0
"UTP23",0
"TTI2",0
"POLB",0
"MCF2",0
"UTY",0
"HSPA14",0
"FAM171A1",0
"RP11.96C23.10",0
"HOGA1",1
"IGSF9B",0
"EHF",0
"PPP1R32",0
"CCDC53",0
"ULK1",0
"EFCAB4B",0
"KERA",1
"PZP",0
"CCDC41",1
"SETDB2",0
"FOXG1",1
"KCNH5",1
"CHRNA7",0
"MEIS2",1
"SIN3A",1
"PEAK1",0
"PKD1",1
"UBFD1",0
"CALB2",0
"DRG2",0
"SARM1",0
"LRRC37A",0
"SGCA",1
"CAMTA2",0
"WFIKKN2",0
"SEPT4",0
"RAD51C",1
"NARF",0
"WDR16",1
"FHOD3",0
"CPAMD8",1
"ZNF98",0
"ZNF556",0
"SLC7A9",1
"ZNF180",0
"STRN4",0
"SULT2B1",1
"GPR32",0
"ZNF578",0
"ZNF347",0
"ZIM2",0
"USP29",0
"RANBP3",0
"VAV1",0
"AP4B1",1
"FAM132A",0
"SPRR2D",0
"IFI16",0
"PPOX",1
"SWT1",0
"DSTYK",0
"LYST",1
"MT1HL1",0
"C1orf101",0
"RHD",0
"ACTRT2",0
"LRRC42",0
"PDE4B",0
"SPSB1",0
"DPYD",1
"SIRPA",0
"SLC4A11",1
"SEMG1",0
"YTHDF1",0
"JAM2",0
"KRTAP6.1",0
"DMC1",1
"TEF",0
"AFF3",0
"RGPD4",0
"NXPH2",0
"NRP2",0
"UGT1A9",0
"TRMT61B",0
"IGKV1.6",0
"STARD7",0
"PDIA5",0
"UROC1",0
"CPNE4",0
"CCDC39",1
"KCNH8",0
"VPRBP",0
"ALAS1",0
"ASB14",0
"LRIG1",0
"PDZRN3",0
"UCP1",0
"KIAA0922",0
"FGG",1
"PPARGC1A",0
"SEPSECS",1
"WDR19",1
"TMPRSS11B",0
"TMPRSS11E",0
"PSAPL1",0
"SEC31A",0
"NKD2",0
"PCDHB16",0
"PCDHGB1",0
"SPINK5",1
"RXFP3",0
"RANBP3L",0
"RGMB",0
"DCBLD1",0
"ENPP1",1
"BCLAF1",0
"HIST1H4J",0
"ZNF76",0
"TFAP2D",0
"UBE3D",0
"TRBV5.4",0
"ZYX",0
"OR2A14",0
"CROT",0
"LMTK2",0
"TRRAP",1
"GATA4",1
"FAM83H",1
"ZNF596",0
"PRDM14",0
"SLC10A5",0
"GABBR2",0
"OR1N2",0
"FIBCD1",0
"C9orf171",0
"SARDH",0
"EHMT1",1
"ZMAT1",0
"AMELX",0
"DOCK11",1
"ENOX2",0
"USP26",0
"HAUS7",0
"IDH3G",0
"OPN1LW",1
"FAM50A",0
"RAB39B",0
"MBTPS2",0
"PRDX4",0
"USP11",1
"PQBP1",0
"CCNB3",0
"PHF8",1
"OPHN1",1
"CHIC1",0
"GPR174",0
"CNNM1",0
"PSD",0
"GRK5",0
"C10orf88",0
"ADAM12",0
"INPP5A",0
"DCLRE1C",1
"ST8SIA6",0
"MRC1L1",0
"CACNB2",0
"SVILP1",0
"CSGALNACT2",0
"PRKCQ",0
"MYPN",1
"PCGF5",0
"CWF19L2",0
"ZW10",0
"APOC3",0
"OR8B3",0
"OR8B8",0
"CCDC15",0
"RPUSD4",0
"FAM118B",0
"LSP1",0
"OR5AS1",0
"OR8J1",0
"APLNR",0
"OR9Q2",0
"OR5B17",0
"OR4D10",0
"MS4A14",0
"GAL3ST3",0
"CTSF",0
"SSH3",0
"C11orf82",0
"EED",1
"PRSS23",0
"TRIM49C",0
"MIR1261",0
"KDM4E",0
"STAB2",0
"CCDC63",0
"LINC00173",0
"SLC15A4",0
"ABCC9",1
"TM7SF3",0
"RHNO1",0
"KCNA6",0
"ACVR1B",0
"FRS2",0
"LRRC10",0
"PTPRR",0
"METTL25",0
"UBE2N",0
"VEZT",0
"ING1",1
"MCF2L",0
"F7",1
"CUL4A",0
"SKA3",0
"CCNA1",0
"LHFP",0
"COG6",0
"FNDC3A",0
"CAB39L",0
"OLFM4",0
"SPRY2",0
"CLDN10",0
"CDCA4",0
"IGHV3.49",0
"IGHV3.53",0
"OR4K14",0
"OR4L1",0
"OSGEP",1
"FITM1",0
"DNAL1",1
"GPR65",0
"SECISBP2L",0
"DTWD1",0
"FAM81A",0
"TPM1",1
"SMAD3",1
"KIF7",1
"CPPED1",0
"ABCC1",0
"CCP110",0
"CRYM.AS1",0
"IL4R",0
"NETO2",0
"N4BP1",0
"C16orf78",0
"ADCY7",0
"COQ9",1
"NFATC3",0
"ZFP90",0
"AP1G1",1
"IST1",0
"CLEC3A",0
"DYNLRB2",0
"SLC38A8",1
"TUBB8P7",0
"RP11.385D13.1",0
"FAM83G",0
"FAM222B",0
"SEZ6",0
"RARA",0
"KRTAP9.8",0
"NAGLU",1
"ARL4D",0
"CD300LG",0
"ITGB3",1
"COPZ2",0
"COL1A1",1
"LRRC59",0
"MYCBPAP",0
"CACNA1G",1
"HSF5",0
"SCN4A",1
"KCNJ16",1
"CHD3",1
"NPLOC4",0
"MC2R",1
"CABYR",0
"MAPRE2",0
"TCEB3B",0
"DYNAP",0
"CDH19",0
"CNDP1",0
"GCDH",1
"CYP4F3",0
"CYP4F12",0
"ABHD17A",0
"LMNB2",0
"NFIC",0
"KCTD15",0
"ZNF260",0
"ZFR2",0
"MAP4K1",0
"PSMC4",0
"PSG4",0
"AC011530.4",0
"DACT3",0
"PRKD2",0
"C5AR2",0
"ZNF534",0
"CACNG6",0
"KIR2DL1",0
"KIR2DL4",0
"DNAAF3",1
"AURKC",0
"PRSS57",0
"OR7G1",0
"NMNAT1",1
"RTCA",0
"CDC14A",1
"AMY1B",0
"MAN1A2",0
"TAS1R3",0
"ATAD3B",0
"GJA8",1
"LELP1",0
"THBS3",0
"CLK2",0
"KIAA0907",0
"KIRREL",0
"CASQ1",1
"NCSTN",1
"NR1I3",0
"FCGR2A",0
"ILDR2",1
"FASLG",0
"ANKRD45",0
"TOR3A",0
"QSOX1",0
"ZNF648",0
"PLA2G2A",0
"LAMB3",1
"TRIM67",0
"PCNXL2",0
"COA6",0
"TMEM57",0
"NT5C1A",0
"COL9A2",1
"ZFP69B",0
"CYP4B1",0
"TCEANC2",0
"MROH7",0
"L1TD1",0
"KANK4",0
"TAS1R1",0
"WDR78",0
"BARHL2",0
"DNTTIP2",0
"MKKS",1
"C20orf26",1
"MROH8",0
"CDH4",0
"HAO1",0
"KRTAP19.6",0
"POFUT2",0
"COL18A1",1
"PCNT",1
"IL17RA",1
"BID",0
"TXNRD2",0
"IGLV1.40",0
"ZNF280A",0
"IGLV3.21",0
"TMEM211",0
"TFIP11",0
"CRYBB1",1
"PIK3IP1",0
"TRIOBP",1
"APOBEC3B",0
"GRAP2",0
"FAM83F",0
"RANGAP1",0
"ZC3H7B",0
"SULT4A1",0
"FAM19A5",0
"PLXNB2",1
"NOL10",0
"BIN1",1
"SAP130",0
"RAB6C",0
"IMP4",0
"CXCR4",1
"NMI",0
"PLA2R1",0
"FAM49A",0
"GAD1",1
"HOXD13",0
"NUP35",0
"SGOL2",0
"VIL1",0
"BCS1L",1
"SAG",1
"ACKR3",1
"OR6B2",0
"DUSP28",0
"UBXN2A",0
"PPM1G",0
"USP34",0
"OTX1",0
"TTC31",0
"TEX37",0
"IGKV5.2",0
"IGKV2.24",0
"IGKV1D.43",0
"CEP97",0
"NFKBIZ",0
"TATDN2",0
"CD96",1
"KIAA1407",0
"STXBP5L",0
"ALDH1L1",0
"TMEM40",0
"EEFSEC",0
"TF",1
"PLSCR4",0
"KCNAB1",0
"BTD",1
"WDR49",0
"ECT2",0
"ABCF3",0
"CHRD",0
"DGKG",0
"CCDC50",0
"OXSM",0
"SCN11A",1
"TTC21A",0
"CX3CR1",0
"ZNF662",0
"PFKFB4",0
"SLC25A20",1
"P4HTM",1
"BHLHE40",0
"PTPRG",0
"PROS1",1
"ARL13B",1
"MTHFD2P1",0
"OR5K1",0
"OR5K2",0
"ADH6",0
"ADH1C",0
"TRMT10A",1
"MTTP",1
"ENPEP",0
"NDST4",0
"TRAM1L1",0
"CPE",1
"DDX60L",0
"HAND2",0
"NCAPG",0
"SEL1L3",0
"CCKAR",0
"TLR10",0
"GABRB1",0
"USP46",0
"ODAM",0
"PARM1",0
"CXCL9",0
"FGF5",0
"PKD2",1
"CCT5",0
"MCC",0
"LMNB1",0
"SLC36A1",0
"GRIA1",1
"C5orf58",0
"CPLX2",0
"SIMC1",0
"HNRNPH1",1
"CDH18",0
"NPR3",0
"FYB",0
"MOCS2",1
"ELOVL7",0
"ERCC8",1
"HTR1A",0
"CWC27",0
"CD180",0
"OCLN",0
"COL4A3BP",0
"PDE8B",1
"CMYA5",0
"TRIP13",0
"MCHR2",0
"ARMC2",0
"THEMIS",0
"TXLNB",0
"RAET1E",0
"IGF2R",1
"PARK2",1
"WDR27",0
"RBM24",0
"CAP2",0
"HIST1H2AE",0
"HIST1H3F",0
"HIST1H2BH",0
"ZKSCAN4",0
"NKAPL",0
"ZSCAN31",0
"SERPINB9",0
"PTK7",0
"TFAP2B",1
"HMGCLL1",0
"EXOC2",0
"BCKDHB",1
"PRSS35",0
"SPACA1",0
"GPR63",0
"SLC26A3",1
"ZNF800",0
"SLC13A4",0
"CREB3L2",0
"UBN2",0
"TAS2R38",0
"EPHB6",0
"TAS2R39",0
"CTAGE6",0
"ZNF746",0
"GIMAP8",0
"CBX3",0
"TRGJP2",0
"POU6F2",0
"PURB",0
"TNRC18",0
"RNF216",1
"GUSB",1
"CACNA2D1",0
"ICA1",0
"SLC25A40",0
"C7orf62",0
"CDK14",0
"FZD1",0
"ASB4",0
"NCALD",0
"ASAP1",0
"KCNK9",1
"ZFP41",0
"PTK2B",0
"COPS5",0
"DECR1",0
"C8orf37",1
"POP1",1
"NR4A3",0
"RNF20",0
"FKTN",1
"PALM2",0
"PTGR1",0
"ZFP37",0
"TYRP1",1
"CCBL1",0
"SDCCAG3",0
"CER1",0
"DENND4C",0
"FOCAD",1
"IFNA10",0
"IFNA8",0
"UBAP1",0
"ENHO",0
"SPATA31A3",0
"FAM74A3",0
"GDA",0
"GCNT1",0
"ROR2",1
"PRPS1",1
"SLC25A43",0
"GPC3",1
"CD40LG",1
"MTMR1",0
"CNGA2",0
"DDX53",0
"DDX3X",1
"FOXR2",0
"STARD8",0
"RLIM",1
"P2RY10",0
"CPXCR1",0
"DIAPH2",0
"CASP5",0
"PTH",0
"C11orf74",0
"OR51G2",0
"OR56A3",0
"SNX15",0
"MTL5",0
"FOLR3",0
"ENDOD1",0
"METTL21B",0
"GRIP1",1
"CSNK1A1L",0
"IGHV1.46",0
"JPH4",0
"LTB4R",0
"TBPL2",0
"ADAM20",0
"VRTN",0
"KCNK13",0
"CALM1",0
"PLCB2",0
"ABCC11",0
"ENKD1",0
"SPG7",1
"KRT24",0
"KRT17",1
"GNGT2",0
"MAP3K3",0
"UBE2O",0
"ARHGEF15",0
"ROCK1",0
"DSC3",1
"INO80C",0
"CD226",0
"IL12RB1",1
"PSG2",0
"ZNF235",0
"MYH14",0
"ATP1A4",0
"TROVE2",0
"PROX1",0
"NPHP4",1
"ARFGEF2",1
"RNF185",0
"GREB1",0
"THSD7B",0
"PSMD14",0
"SLC25A12",0
"KIAA1715",0
"GMPS",0
"NBEAL2",1
"TLR9",0
"GNRHR",1
"RAP1GDS1",0
"ADAMTS19",1
"PCDHGA11",0
"CLVS2",0
"FAM65B",0
"TCP11",0
"FGD2",0
"MDGA1",0
"MCM3",0
"SND1",0
"ZNF467",0
"DPY19L2P1",0
"EEPD1",0
"MIOS",0
"EPPK1",0
"RHOBTB2",1
"ZMAT4",0
"SPTAN1",1
"CTSV",0
"SCML2",0
"CNNM2",1
"GSTO2",0
"MXI1",0
"MTPAP",0
"FRMPD2",0
"SGMS1",0
"KIN",0
"RAPSN",0
"PLCB3",1
"SNX32",0
"TPP1",1
"B3GNT6",0
"ADCY6",0
"CALCOCO1",0
"OR9K2",0
"KL",0
"CCDC122",0
"TRAF3",0
"OR4N2",0
"TRAV10",0
"CTSG",0
"RPS6KA5",0
"SNRPN",0
"CILP",0
"C15orf59",0
"KLHL25",0
"THUMPD1",1
"ECI1",0
"HS3ST4",0
"GNAO1",1
"GAST",0
"CSHL1",0
"CD79B",1
"ITGB4",1
"SERPINB4",0
"ABHD8",0
"ZNF91",0
"FFAR3",0
"CYP2A7",0
"ZNF114",0
"ZNF835",0
"ZNF177",0
"PPIAL4G",0
"TSACC",0
"CD1E",0
"KCTD3",0
"C1orf198",0
"AKT3",1
"OR2W5",0
"OR2T3",0
"HECTD3",0
"AGBL4",0
"SNAP25",1
"PHACTR3",0
"CECR1",1
"GYPC",0
"ABCB11",1
"PGAP1",1
"DYTN",0
"CXXC11",0
"DHX57",0
"APLF",0
"REG1B",0
"PRKCI",0
"MFN1",0
"DUSP7",0
"SLC9B2",0
"SYNPO2",0
"IL15",0
"FGFR3",1
"THAP6",0
"FAT2",0
"NPM1",0
"TFAP2A",1
"IL20RA",0
"PPT2",0
"SLC17A5",1
"KM.PA.2",0
"ADAM32",0
"ARMC1",0
"GRIN1",1
"GLDC",1
"AGTPBP1",1
"CAPN6",0
"FAM127C",0
"F9",1
"CLIC2",0
"GRIPAP1",0
"ITIH6",1
"LRRC27",0
"ZNF33B",0
"DDX50",0
"KIF18A",0
"OR51D1",0
"OR8U1",0
"MS4A2",0
"STIP1",0
"ZNHIT2",0
"ARFIP2",0
"GAL",0
"GCN1L1",0
"ZNF664",0
"SLCO1A2",0
"MAP3K12",0
"PPM1H",0
"USP44",0
"TEX26",0
"PDS5B",0
"STK24",0
"DIO3",0
"HOMEZ",0
"INSM2",0
"SOS2",0
"C14orf37",0
"KCNK10",0
"BCL11B",1
"RP11.80F22.15",0
"GPT2",1
"NOS2",0
"CPD",0
"OR1D5",0
"ITGA3",1
"AXIN2",1
"PRKCA",0
"SOCS6",0
"YES1",0
"ZNF221",0
"MARK4",0
"DPP9",0
"PRPF38B",0
"TTLL10",0
"SEMA6C",0
"ARHGEF11",0
"IGSF8",0
"LDLRAP1",1
"PPCS",0
"MKNK1",0
"LRRC8C",0
"VPS16",0
"SUN5",0
"KCNQ2",1
"RIPK4",1
"EFCAB6",0
"ACOXL",0
"UBR3",0
"CHRND",1
"GCKR",0
"NDUFAF7",0
"MSH6",1
"GKN1",0
"GUCA1C",0
"SLC6A1",1
"DNAJC13",0
"IGF2BP2",0
"ACKR2",0
"TGM4",0
"PRSS50",0
"RBM15B",0
"SSUH2",0
"SEC24B",0
"ZNF718",0
"FAM92A1P2",0
"HAUS3",0
"AMTN",0
"MTHFD2L",0
"HERC3",0
"SLC25A48",0
"GPX3",0
"LSM11",0
"BASP1",0
"UGT3A1",0
"GPBP1",0
"ATP6AP1L",0
"FOXO3",0
"FHL5",0
"NAMPT",0
"SLC29A4",0
"OR1J1",0
"AUH",1
"ARHGAP6",0
"GLRA2",1
"NAP1L2",0
"SHROOM2",0
"MGEA5",0
"CALY",0
"ZMYND11",1
"THNSL1",0
"ZNF239",0
"GATA3",1
"FLI1",1
"NLRP6",0
"HRAS",1
"OR5T1",0
"MS4A12",0
"KDM2A",1
"ANKRD13D",0
"OR10A2",0
"CTTN",0
"ARAP1",0
"KLRC2",0
"CDKN1B",1
"FAR2",0
"PFDN5",0
"HOXC9",0
"HELB",0
"IFNG",0
"A2ML1",0
"PSPC1",0
"RPL21",1
"SUGT1",0
"SLAIN1",0
"FBXO33",0
"RPS29",0
"NID2",0
"WDHD1",0
"SERPINA13P",0
"USP8",1
"RAB8B",0
"ZNF592",0
"LAT",1
"CORO7",0
"CMTR2",0
"LLGL1",0
"AOC3",0
"CDK5RAP3",0
"SLC25A11",0
"ABCA5",0
"DVL2",0
"GPR142",0
"APCDD1",0
"SEH1L",0
"PIK3C3",0
"USF2",0
"CYP2B6",0
"CYP2A13",0
"SEMA6B",0
"ZNF614",0
"ZNF702P",0
"ZNF665",0
"ZNF550",0
"NGF",1
"PRAMEF4",0
"HP1BP3",0
"KIAA0754",0
"DAB1",0
"MIER1",0
"FAM73A",0
"GBP5",0
"PPP1R3D",0
"LAMP5",0
"UMODL1",0
"CRYBA4",0
"SLC39A10",0
"SPAG16",0
"OTOS",0
"CEP68",0
"THNSL2",0
"CCDC54",0
"TRAT1",0
"GRAMD1C",0
"PLA1A",0
"MCM2",0
"CLDN18",0
"GALNT15",0
"ZNF660",0
"KIF9",0
"USP19",0
"UBE2D3",0
"ARFIP1",0
"SH3RF1",0
"SCRG1",0
"RGS12",0
"GPRIN3",0
"C1QTNF3",0
"SKP2",0
"CDK7",0
"WTAP",0
"SLC17A3",0
"OR2J2",0
"CD2AP",0
"MUT",1
"SH3BGRL2",0
"RRAGD",0
"CASP2",0
"ZNF716",0
"USP42",0
"CD36",1
"STEAP2",0
"ERVW.1",0
"NPTX2",0
"NAPRT1",0
"NANS",1
"ALAD",0
"OR1L3",0
"IFNA16",0
"PGM5",0
"TJP2",1
"SLC35D2",0
"HIATL2",0
"FMR1NB",0
"MTM1",1
"IDI1",0
"TET1",0
"SF1",0
"USP15",0
"PLD4",0
"ADCY4",0
"VPS18",0
"C16orf93",0
"SCO2",1
"HTR3C",0
"DHX15",0
"RFPL4B",0
"CA8",1
"WASH6P",0
"GBF1",0
"PPAPDC1A",0
"CAMK1D",0
"C10ORF68",0
"AKR1C4",0
"ASB13",0
"KAT6B",1
"ITIH5",0
"ATP5C1",0
"TUBB8",1
"LGI1",1
"CASP1",0
"BACE1",0
"HMBS",1
"RPS13",0
"PTPN5",0
"FJX1",0
"OR52B4",0
"ACCS",0
"FNBP4",0
"RP11.707M1.1",0
"OR51B4",0
"OR6Q1",0
"OR52N1",0
"OR4D6",0
"MS4A4E",0
"ZBTB3",0
"WDR74",0
"PELI3",0
"SHANK2",1
"PGM2L1",1
"LRRC32",0
"PRCP",0
"PCF11",0
"GLT8D2",0
"KSR2",0
"GPR133",0
"ALG10",0
"AKAP3",0
"LIMA1",0
"KRT2",1
"KRT4",1
"EIF4B",0
"TPH2",0
"MYF5",0
"NECAP1",0
"CCER1",0
