"","gene","exp_hr_coef","hr_pval"
"162","THADA",8104391.27958227,0.995657044266351
"163","ATR",0.276542826913801,0.157611474410148
"164","HPS3",NA,NA
"165","TOP2B",2287747.21534157,0.995537959331605
"166","XIRP1",12466064.6896213,0.995192326062023
"167","AMIGO3",0.094022802658651,0.0509257311545793
"168","DNAH1",0.566097080502758,0.44394717544013
"169","LARP7",NA,NA
"170","KIAA1109",1.33118761562269,0.79362402512126
"171","BOD1L1",2065466.91447837,0.996205434015006
"172","NPY2R",11464128.0960739,0.995758659001988
"173","ADAM29",0.475957726281503,0.560912295150586
"174","HTT",0.802651883690006,0.843333148702317
"175","HNRNPDL",0.159968868275771,0.151794569085482
"176","PCDHGA6",2508530.87494311,0.995507880349467
"177","DROSHA",1.89235300366758,0.570058546693905
"178","TIAM2",0.502668370159812,0.567874077724096
"179","SUN1",312392.653508564,0.995974900603755
"180","PEX1",0.327814697144619,0.341953709808078
"181","RIMS2",3.79401098800963,0.223588594022283
"182","TRPM6",1.12923388779186,0.917221705096649
"183","VPS13A",15023606.0536794,0.995367226356908
"184","DCAF12L2",5165319.50123305,0.995317825131785
"185","CSF2RA",0.0268868417997324,0.0133710520050426
"186","KIAA1462",4148094.37910446,0.994194272471448
"187","ANO3",3167701.75337126,0.995624154749088
"188","OR5D13",2502813.64869338,0.994803676018199
"189","SRRM4",0.194086800591875,0.197672341508623
"190","RIMBP2",0.71344812858097,0.765575316402695
"191","RAPGEF3",0.878872897780911,0.999986911101401
"192","C14orf39",0.546551817775127,0.61602073137764
"193","DET1",3430718.90711887,0.996111106098671
"194","CCDC135",0.473301882985706,0.535041737284036
"195","SMG8",22089783.7400914,0.995384431679489
"196","DLG4",1496653.55376668,0.994944129312714
"197","DNAH17",0.587947524239038,0.527406249676707
"198","CTAGE1",0.0988635884579999,0.049165057497794
"199","MATK",0.557190804799735,0.617881955419535
"200","ZNF526",577300.655591013,0.995782643150282
"201","CATSPERD",NA,NA
"202","SSTR4",956177.847072021,0.995383924725152
"203","BPIFB2",1619325.49184839,0.994919631719819
"204","PPP1R16B",0.0807243763260477,0.0374423366706857
"205","PLCB4",0.344913627533307,0.354061329028479
"206","TPO",0.220897870680258,0.0993473468442766
"207","PSME4",0.913515660290101,0.936593524581606
"208","GABRA4",1967883.01354536,0.994865387042381
"209","RFX6",1687655.05427285,0.994911154020537
"210","SYNJ2",2260359.05428413,0.994861563153022
"211","CNTNAP2",2062269.59879182,0.995698158975106
"212","KMT2C",0.574137195785585,0.517555726917663
"213","NEFM",0.45664457282151,0.490625306643312
"214","MELK",2322870.6742737,0.994854154047602
"215","ANKRD26",4659545.98806783,0.994490219826447
"216","BICC1",0.150848790245327,0.10798948374989
"217","OR5L1",376074.233733629,0.996150252692963
"218","IRAK3",1.55511206396812,0.728743196399437
"219","ATP11A",0.549134824203659,0.609108007971798
"220","ZNF646",1430582.87865412,0.995490601296387
"221","KRT9",1701401.75289594,0.994039212756184
"222","RECQL5",4199430.86988736,0.99535406789598
"223","GRIN3B",NA,NA
"224","SBSN",3160531.55446655,0.994843800382849
"225","ZNF569",0.227139728854426,0.219981112902785
"226","PNMAL1",0.220772567078285,0.299089706381176
"227","C3",0.12898172935442,0.108041479354953
"228","PNPLA6",0.386908560006996,0.332752896911928
"229","WDR33",0.846240710570203,0.884352162588104
"230","TOMM70A",2962151.62951615,0.995455272138344
"231","LRRC31",838203.84136655,0.995900629073172
"232","CHL1",0.501472680705278,0.536842451255504
"233","ADAMTS3",705850.37964798,0.994402972917477
"234","HIPK2",0.190266843066936,0.15123936391439
"235","TRPV6",0.212390927210533,0.116392834876803
"236","CCDC146",0.417906076882329,0.493740695107217
"237","TAF2",0.718910011635262,0.795097650255683
"238","SLCO5A1",1.23123837328321,0.862922272913795
"239","ATRX",0.291905800967176,0.273361762064365
"240","BMS1",1839332.78291103,0.994884247760388
"241","MUC2",0.186943548531327,0.14092505042958
"242","NOP2",3622628.0489857,0.995394918167509
"243","SIX4",4294956.05849176,0.995346856323618
"244","ACSM2B",27386.5319210427,0.995901417110026
"245","ITGAM",0.68973333517593,0.770273417965871
"246","HYDIN",0.399969197526525,0.216028342424295
"247","ZNF571",0.42659622816368,0.479089460751012
"248","EEF2",1005023.75458821,0.995081137127868
"249","LILRB2",1583966.92443033,0.995510118709393
"250","SCN3A",3075988.75441015,0.995781219671662
"251","ZNF804A",2.10066240526008,0.508274205980418
"252","COLQ",NA,NA
"253","ROBO1",0.543908568024934,0.475226027398701
"254","SLCO6A1",0.384812901180849,0.415659592601632
"255","MAML1",NA,NA
"256","HECA",1392512.7594452,0.99427633304024
"257","LGSN",2631799.52475064,0.994702647155175
"258","LRWD1",NA,NA
"259","CHRM2",8166944.6239231,0.995591241691434
"260","VPS41",1794350.15115008,0.994895778512124
"261","POM121L12",NA,NA
"262","RP1",0.620911491338696,0.669259294842834
"263","SVEP1",0.389193673580557,0.276881364677315
"264","MSN",NA,NA
"265","HEPH",2202557.85004146,0.994849286101645
"266","CRTAC1",6578432.89634739,0.995653080968693
"267","OR51E1",0.0516008224243692,0.020759228838574
"268","KDM2B",1.1274340855954,0.916803788302985
"269","PAN3",1271245.8087015,0.994997980814199
"270","RXFP2",2021954.49271312,0.994166087708061
"271","CERS3",429940.53005386,0.995393020499886
"272","MYH13",1.01369508923736,0.990244947737088
"273","MPP3",0.109627956013814,0.0835593554349202
"274","ASXL3",3.51185416865902e-08,0.99290513581486
"275","HNRNPCL1",0.320500668128415,0.371909058111653
"276","KIF21B",2418571.72858904,0.99551061468402
"277","HSPG2",0.807914957088963,0.850588518687825
"278","LCT",1.97362732458363,0.553862535691381
"279","LRP2",2.10006340773379,0.497860077964048
"280","SCN10A",1.58967597229573,0.686184181421212
"281","GABRB2",1.11835335585906,0.92145666325129
"282","GABRA6",801394.760244593,0.994500177762887
"283","IL31RA",0.847557883379191,0.999987545623433
"284","KCNQ5",0.396359728386131,0.309822776330339
"285","STK31",0.56067415677458,0.603799403837574
"286","NME8",0.871476718036137,0.999983355959166
"287","HECW1",0.49100372471417,0.399088716797855
"288","KIAA1324L",712705.622096398,0.995205538924258
"289","MCM7",1663214.31055962,0.994894934563133
"290","CSMD3",0.866372807235494,0.845073232311769
"291","PTPN3",2917539.89567577,0.995209018527811
"292","PALM2.AKAP2",1500914.63070349,0.994247315492817
"293","PPP1R26",0.823339430386798,0.867947732436153
"294","CHUK",0.103466482294936,0.061885430475432
"295","LZTS2",2595345.0259761,0.996096775643895
"296","SYT15",NA,NA
"297","HKDC1",2504985.61564981,0.99584027991634
"298","GRAMD1B",27907123.8600699,0.995499719517089
"299","TMEM132A",NA,NA
"300","YIF1A",596308.884811625,0.995775313065649
"301","C11orf30",223134.25839176,0.995627378782263
"302","HECTD4",1.74636337258448,0.613216837304325
"303","FBXO21",2289046.77955298,0.995071358786527
"304","LRRK2",1.5244192501809,0.703468318769455
"305","KRT82",1859932.0794629,0.995926956792076
"306","KRT6A",589209.263867764,0.995276460851066
"307","CEP290",0.452890753690974,0.481911871498886
"308","COL4A1",2746549.42611361,0.995813563744378
"309","BRCA2",0.218364645963976,0.0902495215621022
"310","AHNAK2",0.940394240713952,0.941073724934312
"311","CPSF2",8.61334829681724e-09,0.994153067600576
"312","NEDD4",0.336725300912498,0.352921659045629
"313","TICRR",0.102551634157953,0.118504678901629
"314","PDXDC1",0.303409980283531,0.325897173729359
"315","DNAH9",1.31450324415908,0.80609911451666
"316","TOP2A",8.71990524546734e-09,0.994929369910884
"317","EPX",1644093.88128959,0.994915091300446
"318","MIB1",NA,NA
"319","NOL4",7.78298100087025e-09,0.993859370062152
"320","DSEL",5020174.79983174,0.995942389194199
"321","MAST3",1395357.88979392,0.995452171182472
"322","CILP2",0.174532643506782,0.125737488744411
"323","NTNG1",0.591058373592342,0.679607848240265
"324","FLG2",0.305718333878632,0.302619748614844
"325","KCNN3",0.744741787115154,0.80165615931569
"326","TMEM79",5059283.92983424,0.993632808298188
"327","FCRL5",0.345029705798238,0.242562300990042
"328","HLX",1140316.30680132,0.996414217888639
"329","OR2M2",0.698136280792287,0.758764145790995
"330","LRRC41",410004.920848011,0.995397062265822
"331","C1orf173",1.01891591005487,0.98647931802134
"332","NCOA5",10272657.9251433,0.995772948863432
"333","CCDC116",2826242.66367301,0.996081448253669
"334","CABIN1",0.413012738726272,0.325187667494932
"335","MYO18B",12020193.1672154,0.995245114972213
"336","NEB",1.03781448978821,0.956388252744471
"337","MAP2",1.15481703047592,0.897308008978688
"338","STK36",0.0598191815033673,0.0277797162416307
"339","C2orf78",2537156.3048975,0.993931139003034
"340","MYLK",879098.481613916,0.99430964546434
"341","WNT7A",25561.6694711794,0.996705229333546
"342","COPB2",8252395.84378584,0.994550647052278
"343","CP",866462.540867508,0.995925376457119
"344","TBL1XR1",2399857.67888016,0.995127633458246
"345","RNF123",3446546.26767983,0.994875301640343
"346","RRP9",3504855.91667235,0.995513937840261
"347","NISCH",0.283182293338202,0.295742678980791
"348","PRICKLE2",3204514.67414915,0.995629790509582
"349","BRPF1",5098419.97374831,0.995301038300767
"350","FIP1L1",0.308456613744585,0.35544282852882
"351","SORCS2",NA,NA
"352","RAD50",0.180315602409262,0.238721438314231
"353","TRPC7",0.640286019507265,0.711701347996395
"354","TCOF1",983209.245952488,0.99508905053998
"355","DBN1",NA,NA
"356","RUFY1",0.578227940206758,0.707058589023064
"357","MROH2B",1.56636492722287,0.692072454989314
"358","HACE1",0.723147322303055,0.799025701406283
"359","LATS1",NA,NA
"360","VARS2",NA,NA
"361","COL9A1",0.385632066418763,0.297575144456698
"362","TNPO3",0.882524870667793,0.999986859594125
"363","ABCB8",0.468647432382689,0.603685539959079
"364","DPP6",591363.67968031,0.994779734079245
"365","PCLO",1.00640687574859,0.99382981878366
"366","LONRF1",7.03139698515258e-09,0.992975120880818
"367","DOCK5",2752507.13210573,0.995478241670018
"368","COL15A1",6562996.46416297,0.995484228127544
"369","ODF2",596116.03541194,0.995273176415551
"370","ACTRT1",NA,NA
"371","SLITRK2",0.259924064115656,0.249871288798607
"372","ZBED1",8528309.57389823,0.995085371127816
"373","FAM47C",0.323835163708751,0.310850891978219
"374","KDM5C",1.49735923795767,0.731008045966252
"375","FGD1",NA,NA
"376","PDCD11",6349726.06009088,0.995924349328921
"377","LCP1",2561195.61485685,0.99562796060238
"378","NIN",0.182220278547677,0.10968374028188
"379","BRCA1",7157705.18350696,0.995904898148826
"380","ELAVL4",1295787.19943773,0.995281123574487
"381","CARD11",0.289057972258838,0.151272988506156
"382","XIST",7053150.90620693,0.995942063418056
"383","CUBN",3.38324264901472,0.265844273914713
"384","LNX2",0.719494318753218,0.784554476926664
"385","TNRC6A",4658993.72635378,0.994666643867061
"386","SLC12A3",NA,NA
"387","ZFHX3",1.1190893216732,0.893992146106758
"388","ALOX15B",0.420234967299825,0.550971896145894
"389","DSC2",0.0860047833127026,0.0430234187420571
"390","FCGBP",11676583.6281702,0.995332574372865
"391","PEG3",0.205934927856726,0.0422969459750521
"392","PDE4DIP",0.367118557881989,0.195973322320413
"393","ASTN1",5848947.94076358,0.995433165187468
"394","LAMC1",0.569781738043993,0.624767313319744
"395","PLD5",1.61647602672179,0.681539563658715
"396","SFPQ",2053292.06746996,0.994856526564308
"397","PRKAA2",0.328830351803327,0.343159385182105
"398","SEL1L2",2067258.61158562,0.994854084822186
"399","CPXM1",0.445054530977918,0.504034374664074
"400","MYT1",0.613842479460514,0.670669912869727
"401","ERG",0.315216455550632,0.427954540129213
"402","ETAA1",1000845.85860675,0.994407778342925
"403","EPHB1",2168587.65131771,0.99426552638005
"404","ALPK1",0.256129984898537,0.348880963342054
"405","SHROOM3",0.234197613469836,0.228595562938218
"406","SYNGAP1",2108215.74285594,0.995561561164572
"407","UHRF1BP1",2776833.24274046,0.993851742620479
"408","MLIP",0.170438995693029,0.22476680247127
"409","LAMB1",0.625260918598638,0.679173849638179
"410","DPYS",0.0804575155937326,0.048206005813573
"411","CPSF1",1429323.78367493,0.994961164708116
"412","CSMD1",0.816560981344019,0.80617335163191
"413","ZFHX4",0.950723036124872,0.951116134898088
"414","PSKH2",3.69469372810947e-08,0.993829699706599
"415","CDH17",0.474056784161277,0.535052935018211
"416","ADAMTSL1",3054867.1070271,0.993926606687224
"417","SPATA31D5P",2627405.78970331,0.995158878005098
"418","GPR112",0.420416421874021,0.434880167366697
"419","TCF7L2",1.76975172866392,0.608209819731387
"420","PCDH15",1.95609140263351,0.537350822067467
"421","TECTA",0.459975885315754,0.362620351368081
"422","IGF2",635958.363928793,0.994594233893858
"423","NADSYN1",786349.455706997,0.994364536602214
"424","LRP1",9414038.6049406,0.995745518997315
"425","NAV3",0.570293457584339,0.463186695779544
"426","FANCA",554777.385243287,0.99530771354103
"427","ITGAE",1205191.98928833,0.995016580153749
"428","PTPN14",0.18604219913676,0.186343610491355
"429","SZT2",0.773754921158183,0.819579281523275
"430","LRRC7",2.11833586671232,0.496250817348478
"431","SLC4A10",21183436.0032608,0.99424012490747
"432","PDGFRA",3338755.17405714,0.995419308158277
"433","CTNND2",0.242756171496588,0.226185899346685
"434","CDH10",0.178559694233127,0.0292528189362134
"435","GRM3",0.0942501529713011,0.0442915509988529
"436","PREX2",0.558808792873977,0.49531200307688
"437","CRISPLD1",0.24668843309247,0.13707857302327
"438","FRMPD3",0.0352959226703796,0.00891614411277812
"439","COL17A1",1771576.45346632,0.994902285576416
"440","MKI67",0.839091762683105,0.875150180640697
"441","FBXO18",6280560.93176211,0.99494863062167
"442","LRIT1",0.831991484511702,0.999986026371987
"443","SIDT2",664399.908771293,0.994432422746685
"444","CARS",343393.959686354,0.99547997856636
"445","INTS5",3311537.88157186,0.994427750788532
"446","KNTC1",0.501772854086223,0.543761523200312
"447","ABCB9",0.589173416934929,0.661389496864794
"448","CENPJ",0.839271209832474,0.877235781166451
"449","SLC7A1",NA,NA
"450","TSC22D1",1325093.34268644,0.99608798672002
"451","PCDH17",1.5106905397881,0.709862163162692
"452","MYCBP2",1.19764616353507,0.832843781155632
"453","LRP10",3461532.34874547,0.99574853808753
"454","CATSPERB",0.257015503124744,0.165455139390811
"455","TLN2",0.170443793868361,0.132898830749014
"456","E4F1",0.342604823766788,0.241965028400793
"457","SALL1",2751773.79061835,0.99493854292716
"458","MYO18A",0.916863365814669,0.938566443092031
"459","ERBB2",323240.265149099,0.994765789243595
"460","MYBBP1A",1387752.8860198,0.995699492354615
"461","ZBTB4",0.0901180621242137,0.0380144764372344
"462","NPC1",712291.353624666,0.994398386973347
"463","LAMA3",0.24605178515262,0.102320359740979
"464","ANKRD12",0.333746097199381,0.363385743536847
"465","PDE4A",1214755.40886806,0.99569802351812
"466","DNM2",10087326.9561437,0.995369943684933
"467","SIN3B",285797.772840117,0.995556907202215
"468","UPF1",18160488.7839618,0.995334091800135
"469","TJP3",15694451.8742424,0.994902329503827
"470","ZNF574",2739836.48780899,0.995814106876518
"471","PNMAL2",7157997.99296923,0.99587040560267
"472","PRKCG",0.491708683311172,0.544583925154531
"473","BRSK1",739365.790788158,0.995724135529838
"474","ZNF471",0.239823860361251,0.236715877131667
"475","XAB2",1434700.57919678,0.995448735418647
"476","EPS8L3",5019436.7195145,0.99416985072566
"477","SYCP1",0.186059063397879,0.186614118263496
"478","ADAMTSL4",0.0337289295979486,0.0079852992786647
"479","DENND4B",1.65849585043376,0.65929157785259
"480","NFASC",5339848.66525422,0.995069856392206
"481","PM20D1",800060.316850404,0.996506126802246
"482","FCAMR",852724.373399588,0.995896072783404
"483","RP11.193H5.1",10198353.5515538,0.993792531852303
"484","DLGAP3",0.278137754367411,0.275430926889591
"485","ZHX3",1916559.00189464,0.996098449193502
"486","SLCO4A1",0.312887548431144,0.315854711899314
"487","SYNJ1",0.360153902628834,0.397311565448475
"488","MICALL1",3865487.03397579,0.995718229880311
"489","CPT1B",2609747.08490631,0.995828022055529
"490","LHCGR",0.217025046070365,0.230045873317292
"491","TET3",0.109686370179306,0.0245919709418566
"492","SNRNP200",0.293462202783912,0.28767858112378
"493","SEMA5B",1753182.10119918,0.994909314985603
"494","GRIP2",0.69538895780663,0.757217294470913
"495","LAMB2",0.107261850366803,0.0240656480132855
"496","BSN",2.17555408685992,0.479168559545673
"497","CAMKV",NA,NA
"498","CACNA1D",1.7529925345437,0.609396942191962
"499","SPATA5",NA,NA
"500","ZNF721",0.472829342660836,0.521947859691907
"501","KIT",15727894.2996616,0.995691831932841
"502","PDE6B",0.112031228128293,0.0628223420514167
"503","SH3TC1",0.559636247916651,0.614172830334945
"504","WDR36",0.120810722160491,0.146351631459339
"505","ARAP3",0.557393228314036,0.627908148206276
"506","SH3PXD2B",5580771.67016473,0.994230495289574
"507","CDH12",1263267.35975711,0.995000899207792
"508","SDHA",0.715665351694798,0.78137490681296
"509","PDZD2",1.06343441020668,0.955814293602728
"510","ANKRD32",0.173133275159725,0.14666620291939
"511","TAB2",0.1959626739545,0.176317333662617
"512","TAGAP",2697301.5206076,0.996004131813401
"513","EPHB4",6049963.7432795,0.99591268730185
"514","SRRT",303501.164975649,0.995513282827702
"515","RELN",2.61598970156824,0.38121969494904
"516","KCND2",2579341.36892049,0.994034942791762
"517","FLNC",0.642439045632402,0.600190180096114
"518","SDK1",0.256298044432779,0.0666185573025415
"519","PLEC",1.82991080629672,0.583782820097981
"520","PAPPA",0.367599912126166,0.307089160078596
"521","TLR4",4.79723051356418e-08,0.99390245780021
"522","PKN3",1034194.92986555,0.995054299212327
"523","TLE1",1751927.36503516,0.995570279716794
"524","L1CAM",4592981.28456304,0.994321568735489
"525","MAGEE1",4204639.14306342,0.99386471376826
"526","ITGA8",0.559820379405751,0.555171921029833
"527","GRIA4",0.935513101453814,0.999988801053749
"528","INPPL1",0.745189228041509,0.797735826623586
"529","CIT",5441353.15818907,0.99380036822113
"530","ARID2",0.60673183224568,0.659344813982474
"531","VWF",10123369.921152,0.995536758916929
"532","RIN3",0.107275994825753,0.0805588815790095
"533","DMXL2",0.565342632692623,0.522034499084011
"534","ADAMTSL3",1.13082977362267,0.911818859824476
"535","ARHGAP27",5532412.00163848,0.993581848869061
"536","MTMR4",1.08027761816667,0.947408159399742
"537","DNAH2",1.19808892090509,0.83020236901781
"538","CELF4",871105.818089445,0.995889069899188
"539","ANO8",0.113585894346862,0.0641547498034484
"540","SUPT5H",0.252143662569721,0.232755804651932
"541","NLRP13",0.392143494285058,0.436818659768101
"542","PADI1",185440.231235554,0.996146234839908
"543","IGSF21",NA,NA
"544","LBR",2143579.23917137,0.994510671096221
"545","OR2T6",267707.863976593,0.996025124186769
"546","IL12RB2",0.405972738640269,0.441459045386365
"547","BAGE2",0.606534994029315,0.669289561680663
"548","TIAM1",1825183.28732438,0.995939626022956
"549","LZTR1",0.116363096947251,0.09110370274277
"550","SEZ6L",915717.670033201,0.99575592324852
"551","SLC4A3",0.0400939823005001,0.00813178836058048
"552","DGKD",NA,NA
"553","HDAC4",1470786.00275309,0.995736286585901
"554","ADCY3",NA,NA
"555","SOCS5",1189488.45170654,0.995021104571623
"556","LOXL3",455844.292962747,0.995371199813962
"557","ZBTB20",5908068.39086556,0.995301160898175
"558","EOMES",0.575423693778794,0.630422220337323
"559","SCN5A",2859926.12876016,0.994240155028831
"560","DOCK3",13576885.8789549,0.995542551921005
"561","SFMBT1",943809.668197833,0.99510390676042
"562","FAT4",0.90752846977894,0.905675169053481
"563","PCDHGA5",0.29778622069471,0.277705608770294
"564","RAB3C",0.258811093155693,0.2510029243799
"565","ZBTB22",3568399.68261663,0.994852850701402
"566","CDYL",0.207963611111647,0.218848474712956
"567","KCNH2",0.182252223941236,0.14690159378697
"568","AKAP9",1.12164352654003,0.917144872844094
"569","LOXL2",827052.372016388,0.995697431713166
"570","CCDC180",3259907.7730094,0.99440421141482
"571","SLC24A2",0.250343644420037,0.128570738391996
"572","UBAP2",1787503.1742089,0.994661344473612
